Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
2000,1934.75,6.768,18.176,43,1444.75,2452.944,885.0054,459.0
3000,1929.0,11.107,24.338,42,2086.5,3425.7236,972.7795999999998,641.75
4000,1962.25,16.895,40.509,43,3092.25,4597.3633,1171.6397000000002,1005.75
5000,2055.0,14.494,27.28,45,4747.0,6049.5225,1452.1592,1654.75
6000,2145.5,15.723,32.825,47,6178.5,7787.945,1738.4224999999997,1431.5
7000,2242.5,18.605,35.065,49,8081.25,9752.377,1964.4320000000007,1902.75
8000,2342.0,16.635,30.487,51,10043.5,11830.014,2077.636999999999,1962.25
9000,2420.25,11.266,21.878,53,11790.0,13890.0625,2060.048500000001,1746.5
10000,2441.5,13.664,21.735,54,13082.75,15854.296,1964.2335000000003,1292.75
11000,2463.5,13.775,21.677,54,14250.5,17767.94,1913.6439999999984,1167.75
12000,2489.25,13.586,21.613,55,15610.75,19785.053,2017.1130000000012,1360.25
13000,2515.25,14.893,28.757,56,17162.25,22125.176,2340.1229999999996,1551.5
14000,2555.0,17.514,31.79,56,18567.75,25024.117,2898.940999999999,1405.5
15000,2657.25,37.1,86.707,58,21153.5,28595.086,3570.969000000001,2585.75
16000,2865.75,100.166,51.843,64,27208.5,32592.83,3997.7440000000024,6055.0
17000,3068.25,22.576,38.882,67,32279.5,36380.39,3787.5599999999977,5071.0
18000,3281.25,11.043,0.0,69,34370.0,39268.836,2888.4460000000036,2090.5
19000,2460.25,8.963,0.0,68,35262.0,41040.55,1771.714,892.0
20000,2139.75,7.973,8.655,67,35791.0,42333.156,1292.6059999999998,529.0
21000,2128.5,8.203,6.43,67,36457.5,43700.043,1366.8869999999952,666.5
22000,2114.0,8.107,13.879,66,37036.75,45373.08,1673.037000000004,579.25
23000,2044.5,23.449,56.866,66,37804.75,47420.69,2047.6100000000006,768.0
24000,2127.0,55.51,100.0,67,40110.0,49886.062,2465.3719999999958,2305.25
25000,2217.0,99.908,100.0,71,45018.0,52807.395,2921.3329999999987,4908.0
26000,2345.0,99.908,93.161,74,51916.5,56296.02,3488.625,6898.5
27000,2467.25,99.861,87.411,78,60014.25,60510.02,4214.0,8097.75
28000,2607.0,99.854,72.662,82,68994.25,65483.12,4973.100000000006,8980.0
29000,2832.0,16.0,34.94,85,76767.25,70913.734,5430.613999999994,7773.0
30000,2747.75,25.648,47.336,87,78785.0,76225.84,5312.106,2017.75
31000,2815.75,48.809,49.93,89,83037.0,80989.89,4764.050000000003,4252.0
32000,2898.75,100.109,50.134,92,88258.5,84848.836,3858.9459999999963,5221.5
33000,2953.25,9.008,0.0,93,92989.0,87638.14,2789.3040000000037,4730.5
34000,2924.75,10.918,10.211,91,93656.25,89452.23,1814.0899999999965,667.25
35000,2870.5,11.139,18.604,90,94386.0,90591.14,1138.9100000000035,729.75
36000,2827.25,10.01,0.0,89,95132.25,91411.91,820.7700000000041,746.25
37000,2742.5,9.66,0.0,87,95472.0,92267.12,855.2099999999919,339.75
38000,2695.0,9.631,0.0,86,96035.0,93481.7,1214.5800000000017,563.0
39000,2675.0,26.113,46.439,85,96866.0,95251.766,1770.0660000000062,831.0
40000,2719.25,42.4,37.335,86,100650.5,97534.28,2282.5139999999956,3784.5
41000,2765.0,25.068,38.684,87,104172.75,99970.78,2436.5,3522.25
42000,2770.25,10.012,0.0,88,106854.0,102026.44,2055.6600000000035,2681.25
43000,2722.5,9.584,0.0,86,107406.0,103248.125,1221.6849999999977,552.0
44000,2198.75,7.83,0.0,83,107406.0,103528.11,279.9850000000006,0.0
