Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
2000,2339.0,6.709,24.539,73,3946.75,8909.893,2719.4174000000003,261.3130000000242
3000,2255.25,13.281,31.912,72,4844.686999999976,11035.51,2125.617,897.9369999999763
4000,2300.75,19.646,33.276,73,6667.436999999976,12787.102,1751.5920000000006,1822.75
5000,2331.0,12.676,23.383,74,9008.813000000024,14435.706,1648.6039999999994,2341.3760000000475
6000,2339.25,11.236,25.232,74,10268.813000000024,16188.309,1752.6029999999992,1260.0
7000,2349.75,20.85,37.723,74,11814.843999999985,18176.299,1987.9899999999998,1546.0309999999608
8000,2383.0,23.262,37.839,76,14323.0,20470.164,2293.8650000000016,2508.1560000000154
9000,2452.25,25.578,37.839,78,17330.125,23091.959,2621.7949999999983,3007.125
10000,2535.0,26.494,37.839,80,20908.75,26020.773,2928.814000000002,3578.625
11000,2610.25,19.494,34.897,83,24527.0,29171.291,3150.518,3618.25
12000,2658.25,18.768,34.238,84,26880.186999999976,32397.309,3226.018,2353.1869999999763
13000,2696.75,19.348,34.238,86,29189.5,35527.973,3130.663999999997,2309.3130000000237
14000,2756.0,15.316,30.219,87,31899.0,38387.344,2859.370999999999,2709.5
15000,2778.5,11.775,22.348,88,33372.25,40842.547,2455.2030000000013,1473.25
16000,2790.5,12.826,22.168,88,34601.53100000002,42852.24,2009.6929999999993,1229.2810000000172
17000,2770.5,7.861,0.0,89,35899.75,44446.92,1594.6800000000003,1298.2189999999828
18000,2778.5,8.498,0.0,88,36457.96899999998,45698.85,1251.9300000000003,558.2189999999828
19000,2726.5,9.094,0.0,87,36625.875,46695.37,996.5200000000041,167.90600000001723
20000,2718.5,8.23,0.055,86,37179.71899999998,47528.27,832.8999999999942,553.8439999999828
21000,2711.25,8.936,0.0,86,37646.53100000002,48236.633,708.3630000000048,466.81200000003446
22000,2687.5,6.768,0.0,85,38531.0,48828.414,591.7809999999954,884.4689999999828
23000,2656.0,5.482,0.0,84,39222.71899999998,49330.71,502.2960000000021,691.7189999999828
24000,2638.5,5.602,0.0,84,39681.53100000002,49797.504,466.7940000000017,458.81200000003446
