Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
2000,1734.75,13.838,30.893,73,1256.25,5983.082,1723.8690000000006,682.25
3000,1707.0,6.084,0.0,72,2040.0,7242.538,1259.4559999999992,783.75
4000,1683.5,6.408,6.561,71,2414.5,8183.38,940.8420000000006,374.5
5000,1665.75,17.324,31.125,70,3108.75,9012.978,829.597999999999,694.25
6000,1666.5,9.549,17.88,70,4492.75,9872.907,859.9290000000001,1384.0
7000,1648.75,5.426,0.0,69,5011.0,10818.296,945.389000000001,518.25
8000,1652.0,7.121,22.684,68,5411.5,11867.397,1049.1010000000006,400.5
9000,1615.5,10.596,30.618,68,5845.75,13013.09,1145.6929999999993,434.25
10000,1613.0,28.494,38.391,68,6858.75,14238.286,1225.196,1013.0
11000,1627.5,5.312,13.049,68,8520.5,15495.05,1256.7639999999992,1661.75
12000,1612.25,7.324,26.682,68,8802.5,16709.21,1214.1599999999999,282.0
13000,1606.5,15.771,33.286,67,9454.75,17812.92,1103.7099999999991,652.25
14001,1613.75,6.855,9.741,68,10954.75,18736.297,923.3770000000004,1500.0
15001,1584.75,3.506,0.0,67,11303.25,19412.002,675.7050000000017,348.5
16002,1528.75,2.85,0.0,65,11571.0,19829.78,417.7779999999984,267.75
17002,1433.0,2.447,0.0,60,11845.5,20047.744,217.96399999999994,274.5
18002,1348.75,2.297,0.0,57,12030.75,20161.537,113.79300000000148,185.25
19002,1257.0,2.031,0.0,53,12220.5,20239.61,78.07300000000032,189.75
20002,1172.25,4.332,0.0,51,12496.0,20320.014,80.40399999999863,275.5
21002,566.0,7.818,0.0,47,12727.75,20474.744,154.72999999999956,231.75
22002,1310.5,6.012,0.0,45,13237.0,20839.807,365.0630000000019,509.25
23002,1045.25,5.053,0.0,44,13598.0,21182.586,342.77899999999863,361.0
24002,982.25,4.516,0.0,43,13900.0,21412.203,229.617000000002,302.0
25002,873.25,3.969,0.0,39,14194.75,21517.979,105.77599999999802,294.75
26002,745.0,3.887,0.0,35,14479.75,21604.857,86.87800000000061,285.0
27002,862.25,4.365,0.0,34,14737.0,21820.145,215.28800000000047,257.25
28002,1144.75,5.02,16.205,33,15056.75,22217.672,397.5269999999982,319.75
29002,1310.0,4.939,0.0,31,15512.25,22752.213,534.5410000000011,455.5
30002,1070.0,7.422,25.62,31,15823.0,23401.496,649.2829999999994,310.75
31002,1474.75,13.955,27.621,31,16473.75,24225.146,823.6500000000015,650.75
32002,1475.75,24.096,56.665,32,17828.0,25123.502,898.3559999999998,1354.25
33002,1547.0,28.094,17.056,34,19448.0,26023.03,899.5279999999984,1620.0
34002,1591.0,4.998,0.0,35,20666.75,26847.336,824.3060000000005,1218.75
35002,1531.75,4.875,14.453,34,20962.0,27572.695,725.3590000000004,295.25
36002,1495.5,13.006,27.2,33,21422.5,28263.592,690.8970000000008,460.5
37002,1532.0,11.648,24.435,34,22470.75,29001.85,738.257999999998,1048.25
38002,1581.0,12.486,24.435,34,23523.5,29837.604,835.7540000000008,1052.75
39002,1604.5,7.988,0.0,35,24446.75,30807.23,969.6260000000002,923.25
40002,1672.25,22.217,46.619,35,24906.25,31947.824,1140.594000000001,459.5
41002,1679.75,55.285,51.3,37,26786.5,33285.105,1337.2810000000027,1880.25
42002,1798.25,100.105,55.713,39,28992.5,34822.895,1537.7899999999936,2206.0
43002,2023.75,15.756,15.594,43,32773.25,36462.51,1639.6150000000052,3780.75
