Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
2000,2563.5,13.625,27.216,81,4524.25,10680.963,3409.5157,1988.0
3000,2561.25,10.664,16.046,81,5691.25,13313.994,2633.031000000001,1167.0
4000,2539.5,10.428,15.738,80,6554.75,15296.447,1982.4529999999995,863.5
5000,2516.75,11.16,20.37,80,7290.25,17005.82,1709.3729999999996,735.5
6000,2501.75,12.389,22.601,79,8204.75,18766.793,1760.9730000000018,914.5
7000,2490.5,12.576,29.346,79,9370.0,20754.443,1987.6499999999978,1165.25
8000,2498.0,20.166,39.474,79,10659.0,23028.793,2274.350000000002,1289.0
9000,2531.5,14.912,30.853,80,13229.25,25565.904,2537.110999999997,2570.25
10000,2550.5,13.428,27.042,81,15213.5,28254.188,2688.2839999999997,1984.25
11000,2561.75,14.152,26.776,81,16509.5,30940.156,2685.9680000000008,1296.0
12000,2564.0,14.281,26.703,81,17939.5,33484.62,2544.4640000000036,1430.0
13000,2568.5,15.365,24.707,81,19417.5,35802.82,2318.199999999997,1478.0
14000,2564.25,15.018,24.884,81,20947.5,37877.51,2074.6900000000023,1530.0
15000,2557.25,14.928,24.966,81,22541.75,39746.703,1869.1929999999993,1594.25
16000,2560.0,14.871,25.198,81,24221.25,41465.566,1718.8629999999976,1679.5
17000,2554.0,15.34,25.604,81,25690.5,43072.508,1606.9420000000027,1469.25
18000,2547.0,11.303,14.749,81,27323.0,44586.316,1513.8079999999973,1632.5
19000,2533.5,13.379,21.06,80,28428.25,46018.73,1432.4140000000043,1105.25
20000,2520.75,14.346,26.611,80,29601.25,47383.414,1364.6839999999938,1173.0
21000,2511.5,14.277,23.145,80,31055.25,48686.477,1303.063000000002,1454.0
22000,2504.0,13.238,19.0,79,32596.75,49943.54,1257.063000000002,1541.5
23000,2496.0,13.393,23.135,79,33709.25,51183.78,1240.239999999998,1112.5
24000,2478.5,13.086,23.615,78,34982.75,52443.86,1260.0800000000017,1273.5
25000,2475.0,17.57,31.577,78,36501.25,53764.01,1320.1500000000015,1518.5
26000,2481.5,15.031,27.066,79,38383.25,55146.598,1382.587999999996,1882.0
27000,2483.75,13.393,22.4,79,39956.0,56560.97,1414.372000000003,1572.75
28000,2478.0,14.168,26.398,78,41382.75,57983.9,1422.9300000000003,1426.75
29000,2472.25,15.219,26.935,78,42706.0,59405.855,1421.9550000000017,1323.25
30000,2473.75,13.781,26.935,78,44214.75,60811.906,1406.0509999999995,1508.75
31000,2472.75,12.568,23.26,78,45670.5,62181.86,1369.953999999998,1455.75
32000,2466.0,13.301,23.273,78,46711.25,63501.324,1319.464,1040.75
