Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
2000,2629.0,10.504,20.023,83,2479.4370000000345,9622.168,3000.7095,670.5620000000345
3000,2623.5,14.244,26.035,83,3319.062999999965,11826.655,2204.487000000001,839.6259999999306
4000,2615.0,10.646,0.0,83,4869.125,13372.901,1546.2459999999992,1550.062000000035
5000,2544.0,11.0,23.856,82,5643.875,14647.407,1274.5059999999994,774.75
6000,2579.0,14.803,28.699,82,6632.875,15990.468,1343.0610000000015,989.0
7000,2594.0,20.459,34.897,82,8420.5,17523.256,1532.7880000000005,1787.625
8000,2608.25,10.428,0.0,83,11185.312999999966,19229.791,1706.5349999999999,2764.8129999999655
9000,2608.0,15.311,31.845,82,12052.125,21031.473,1801.6820000000007,866.8120000000345
10000,2611.25,16.832,32.272,83,13907.187000000034,22818.33,1786.857,1855.0620000000345
11000,2631.75,9.041,0.0,83,16035.562999999966,24443.203,1624.8729999999996,2128.375999999931
12000,2608.0,7.666,4.651,83,16664.625,25782.092,1338.8889999999992,629.0620000000345
13000,2561.75,11.83,18.594,81,17326.562999999966,26817.303,1035.2109999999993,661.9379999999655
14000,2520.0,7.881,19.876,81,18171.56299999997,27629.729,812.4259999999995,845.0000000000036
15000,2513.25,7.881,19.589,80,18855.625,28320.47,690.7410000000018,684.0620000000308
16000,2517.5,13.115,0.0,80,19662.5,28962.934,642.4639999999999,806.875
17000,2469.75,7.777,0.0,79,20484.0,29605.994,643.0599999999977,821.5
18000,2447.0,8.551,0.0,78,20484.0,30321.87,715.8760000000002,0.0
19000,2376.75,14.307,30.746,77,21105.937000000034,31194.055,872.1850000000013,621.9370000000345
20000,2444.25,23.314,27.686,77,23305.375,32298.178,1104.1229999999996,2199.4379999999655
21000,2479.25,15.107,28.229,78,25552.437000000034,33607.137,1308.9590000000026,2247.0620000000345
22000,2495.0,13.414,21.756,79,27260.75,35043.758,1436.6209999999992,1708.3129999999655
23000,2510.25,13.637,25.012,79,28787.56299999997,36539.527,1495.7690000000002,1526.8129999999692
24000,2523.75,14.76,25.388,80,30148.875,38059.105,1519.5780000000013,1361.3120000000308
25000,2533.0,15.812,27.85,80,31808.625,39601.516,1542.411,1659.75
26000,2565.75,16.176,27.884,81,33810.312999999966,41186.55,1585.0339999999997,2001.6879999999655
27000,2590.5,16.369,27.884,82,35688.75,42810.652,1624.101999999999,1878.4370000000345
28000,2619.0,15.969,27.884,83,37712.625,44449.332,1638.6800000000003,2023.875
29000,2645.75,15.756,27.188,84,39749.625,46060.48,1611.148000000001,2037.0
30000,2651.75,9.619,26.215,84,41228.687000000034,47610.66,1550.1800000000003,1479.0620000000345
31000,2653.75,14.99,29.309,84,42348.312999999966,49101.35,1490.689999999995,1119.625999999931
32000,2669.75,17.166,13.321,84,44273.0,50551.42,1450.0699999999997,1924.6870000000345
33000,2655.0,10.143,24.719,85,45580.0,51972.895,1421.4749999999985,1307.0
34000,2674.0,17.291,31.891,85,46771.687000000034,53377.867,1404.9720000000016,1191.6870000000345
35000,2691.75,12.518,0.0,86,49086.375,54763.18,1385.313000000002,2314.6879999999655
36000,2692.0,10.842,16.0,85,50044.687000000034,56133.777,1370.5970000000016,958.3120000000345
37000,2696.0,10.881,23.495,85,50735.0,57530.023,1396.2459999999992,690.3129999999655
38000,2658.5,15.246,26.95,84,51940.937000000034,59010.17,1480.1469999999972,1205.9370000000345
39000,2687.0,15.871,32.132,85,53500.5,60629.758,1619.5880000000034,1559.5629999999655
40000,2713.25,21.371,33.102,86,55608.625,62365.945,1736.186999999998,2108.125
41000,2723.25,9.758,0.0,87,57652.937000000034,64163.27,1797.324999999997,2044.3120000000345
42000,2781.0,10.859,26.025,86,58218.687000000034,65926.09,1762.8199999999997,565.75
43000,2729.5,15.172,28.793,86,59324.812999999966,67563.61,1637.520000000004,1106.125999999931
44000,2759.75,13.266,0.0,87,61161.312999999966,69040.7,1477.0899999999965,1836.5
45000,2774.5,8.008,0.0,87,62088.75,70325.266,1284.5660000000062,927.4370000000345
46000,2711.25,7.771,0.0,86,62131.875,71447.19,1121.923999999999,43.125
47000,2697.0,7.629,21.722,85,62131.875,72517.55,1070.3600000000006,0.0
48000,2683.0,14.074,27.06,84,62896.812999999966,73641.42,1123.8699999999953,764.9379999999655
49000,2684.25,15.264,28.119,85,64311.625,74870.664,1229.244000000006,1414.8120000000345
50000,2707.5,13.461,0.0,86,66175.5,76174.445,1303.7810000000027,1863.875
51000,2652.75,10.109,21.945,85,67150.43700000003,77496.32,1321.875,974.9370000000345
52000,2688.0,10.912,22.791,84,67996.875,78826.71,1330.3899999999994,846.4379999999655
53000,2653.5,16.279,28.992,84,69303.25,80140.26,1313.5499999999884,1306.375
54000,2676.0,16.75,0.0,84,71012.68700000003,81423.43,1283.1699999999983,1709.4370000000345
