report_trip_number,trip_start_time,trip_end_time,data_count,trip_time,trip_distance,trip_idle_time,trip_speed_avg,trip_speed_std,trip_speed_max,trip_engine_speed_avg,trip_acceleration_avg,trip_deceleration_avg,trip_accelerator_pedal_position_avg,trip_accelerator_pedal_position_std,trip_coolant_temperature_avg,trip_coolant_temperature_start,trip_fuel_consumption_lit,trip_fuel_consumption_avg
100,2024-09-08 11:32:06,2024-09-08 11:56:05,2877,1437.984,9.969000000000051,967,24.982968369829685,22.465041343443612,86,1442.1155717761558,-0.0018808053535894328,-0.34128072810381194,9.882250955856795,15.162180054433467,80.8943343760862,71,1042984.859,484499.9728515815
101,2024-09-08 11:56:05,2024-09-08 11:56:47,87,43.0,0.0,83,0.22988505747126436,1.1175258118374538,6,588.3620689655172,-0.036110260386089575,-2.853147905876863,1.972632183908046,9.173937998374623,83.98850574712644,84,12881.75,1073864.6580459771
102,2024-09-08 17:05:37,2024-09-08 17:22:55,2080,1039.498,12.772999999999229,187,44.35913461538462,27.39282518809668,94,1654.3980769230768,0.005604339000053902,-0.2289675136635205,18.91548605769231,20.88953234228493,79.09711538461538,46,1139616.75,608472.1085831731
103,2024-09-08 19:06:27,2024-09-08 19:33:41,3271,1635.251,10.446000000000822,935,22.979211250382146,23.628253615511877,83,1305.503286456741,-0.005494767222999939,-0.5022823146668938,9.7692188933048,15.044034103952255,81.22928767960869,65,1091577.156,572044.8427847753
104,2024-09-08 19:33:41,2024-09-08 19:35:27,213,106.001,0.03899999999975989,147,1.2112676056338028,1.997041393910709,7,1154.5657276995305,-0.07374630642229561,-2.9778371365214253,8.951394366197182,16.79796555135466,80.67136150234742,80,65541.5,1136460.565140845
105,2024-09-09 08:09:10,2024-09-09 08:09:34,49,24.0,0.0039999999999054126,38,0.5918367346938775,1.1532267655535555,3,713.734693877551,2.3525850819295916e-05,,3.797265306122449,9.028717874038353,31.551020408163264,30,11613.75,8180.289673469387
106,2024-09-09 08:09:34,2024-09-09 08:09:36,11,7.0,0.0,11,0.0,0.0,0,750.5,0.0,,5.723181818181818,10.394412872482812,32.81818181818182,32,3445.7659999999996,14697.508454545454
107,2024-09-09 08:11:49,2024-09-09 08:11:59,21,10.0,0.0,21,0.0,0.0,0,726.4166666666666,0.0,,2.2285238095238094,7.131134479303048,38.23809523809524,38,3675.234,2532.325142857142
108,2024-09-09 08:11:59,2024-09-09 08:12:01,5,2.0,0.0,5,0.0,0.0,0,233.4,0.0,,11.909200000000002,18.800860903160793,38.2,38,353.578,4071.0532
109,2024-09-09 08:12:01,2024-09-09 08:21:54,83,41.0,0.0039999999999054126,75,0.4457831325301205,1.4163936689937848,6,633.605421686747,0.0,,9.984734939759036,22.40533191827144,39.80722891566265,38,15460.311999999998,16140.445481927709
10,2024-08-11 15:32:01,2024-08-11 15:32:11,19,9.0,0.0029999999997016857,17,0.631578947368421,1.8918106058538346,6,297.82894736842104,0.0,,0.0,0.0,84.0,84,933.875,1517751.0723684211
110,2024-09-09 08:21:54,2024-09-09 08:39:55,2162,1081.503,12.519000000000233,212,41.76086956521739,26.6716834765802,83,1559.0032377428306,0.004767201634652349,-0.26333763280208633,16.227882516188714,14.380786236834155,74.91165587419056,41,990462.469,517146.77303931536
111,2024-09-09 17:13:05,2024-09-09 17:35:11,2660,1329.651,9.487999999999374,1079,25.74473684210526,30.001903389009108,99,1238.668984962406,-0.007936545538171977,-0.6923941087357746,12.303998872180449,18.90706275720629,76.55,37,1219334.344,742047.8453898496
112,2024-09-10 08:24:19,2024-09-10 08:47:39,2804,1401.502,18.31999999999971,124,47.21647646219686,26.66177740072942,91,1681.6715406562055,-0.0019294598006656624,-0.17070668529659933,16.235366975748928,17.266259868886593,76.06098430813124,33,1362345.031,755176.5469547076
113,2024-09-10 14:37:22,2024-09-10 14:38:00,84,43.5,0.2390000000004875,28,18.904761904761905,15.163859259880745,39,1658.0,0.13381122105488347,-0.6133509925120301,15.308523809523809,17.076332486579112,41.392857142857146,39,52807.202999999994,25113.768226190477
114,2024-09-10 14:49:09,2024-09-10 14:56:21,868,433.504,0.8899999999994179,378,7.27073732718894,8.930810343346492,34,1003.8450460829494,-1.4769566045347038e-07,-1.1514957073021395,5.453861751152073,12.417878943293783,80.92511520737327,80,267690.25,755514.9899435485
115,2024-09-10 18:20:20,2024-09-10 18:41:38,2556,1277.65,11.219000000000051,844,31.699139280125195,29.34453971355763,93,1539.1035798122066,-0.026672425844376527,-0.49683656084628613,11.853310250391235,16.373343527718987,78.48748043818466,54,1056238.828,509097.9502124413
116,2024-09-10 18:41:40,2024-09-10 19:07:57,3153,1576.025,8.444999999999709,719,19.200444021566764,23.28572605425625,88,1179.3922454804947,-0.003852896618572543,-0.5163375320287014,7.805660957817951,13.737341327478296,81.41230574056455,83,920643.25,1571258.179947669
117,2024-09-10 19:07:57,2024-09-10 19:12:07,360,179.501,0.34400000000005093,177,6.7444444444444445,8.505690195816621,33,856.9534722222222,0.08948593963183593,-0.5804217093882286,3.5913166666666667,9.017537447094416,85.55,84,73572.125,2022100.3586805556
118,2024-09-10 19:12:07,2024-09-10 19:15:41,431,214.995,0.07100000000082218,377,1.2273781902552203,3.5033926870150274,17,495.9646171693735,-0.001853855525668227,-2.4077092609564725,1.5818352668213456,6.332963565658876,83.05104408352668,85,49975.625,39788.01840371229
