Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
75,0.0,884.4227,0.0,381.43456999999995
75,0.0,1142.2483,0.0,257.8256
74,0.0,1329.2517,0.0,187.00340000000006
74,0.0,1489.0292,0.0,159.77749999999992
73,0.0,1621.9359,0.0,132.9067
73,0.0,1748.5405,0.0,126.60460000000012
72,0.0,1854.7391,0.0,106.19859999999994
72,0.0,1951.35,0.0,96.6108999999999
71,0.0,2030.9264,0.0,79.57640000000015
70,0.0,2117.617,0.0,86.69060000000013
70,0.0,2237.518,0.0,119.90099999999984
70,0.0,2382.7603,0.0,145.2422999999999
69,0.0,2543.9285,0.0,161.16820000000007
69,312.8740000000689,2791.3325,312.8740000000689,247.404
69,808.6240000000689,3308.4097,495.75,517.0772000000002
70,1967.8120000000345,4298.678,1159.1879999999655,990.2682999999997
71,2777.0620000000345,5505.944,809.25,1207.2660000000005
72,3315.874000000069,6581.573,538.8120000000345,1075.629
72,3630.8120000000345,7088.069,314.93799999996554,506.4960000000001
72,3996.1870000000345,7361.716,365.375,273.64699999999993
72,4210.5620000000345,7552.557,214.375,190.84099999999944
71,4428.0620000000345,7726.987,217.5,174.4300000000003
71,4699.3120000000345,7972.301,271.25,245.3140000000003
71,5174.8120000000345,8382.538,475.5,410.2370000000001
72,5807.6870000000345,8994.778,632.875,612.2399999999998
72,6318.8120000000345,9549.514,511.125,554.735999999999
72,6596.0,9881.293,277.18799999996554,331.77900000000045
72,6807.5,10074.941,211.5,193.64800000000105
71,6828.124000000069,10190.11,20.624000000068918,115.16899999999987
71,6828.124000000069,10274.495,0.0,84.38500000000022
70,6828.124000000069,10346.122,0.0,71.62699999999859
70,6828.124000000069,10436.4375,0.0,90.31550000000061
69,6828.124000000069,10549.551,0.0,113.11349999999948
69,6828.124000000069,10700.898,0.0,151.34699999999975
69,6828.124000000069,10859.754,0.0,158.8560000000016
68,6828.124000000069,10992.59,0.0,132.83599999999933
68,6828.124000000069,11110.109,0.0,117.51900000000023
67,7075.6870000000345,11238.509,247.56299999996554,128.39999999999964
67,7365.562000000034,11463.495,289.8749999999991,224.9860000000008
67,7815.812000000034,11927.3125,450.25,463.8174999999992
68,8448.374000000069,12760.604,632.5620000000354,833.2914999999994
69,9738.5,13663.115,1290.125999999931,902.5110000000004
