Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Trip fuel consumption
82.7,1621.132353,10.14691521,15.74678309,31.62352941,62114.43676
83.5,1644.841176,7.918952493,9.543851965,32.08529412,62709.87224
84.3,1644.079412,6.499921013,7.121833352,32.06617647,63154.52574
85.1,1632.926471,6.347620347,6.600988051,31.9,63533.20129
85.9,1620.258824,6.673943015,8.683435777,31.65,63975.80699
86.7,1608.526471,6.874425551,8.847045898,31.44705882,64391.46875
87.5,1599.989706,6.860495175,8.847045898,31.23759191,64835.63805
88.3,1592.311765,6.81960162,8.847045898,31.10735294,65312.18199
89.1,1584.833824,6.782980526,8.847045898,30.93069853,65829.46765
89.8,1578.025,6.75946404,8.847045898,30.85,66286.25184
90.6,1571.775,6.88659668,9.50733858,30.70707721,66761.78713
91.4,1568.475,7.094331629,9.897496841,30.62637868,67244.24816
92.2,1566.941176,7.144488166,10.36183077,30.625,67755.83364
93,1567.663235,7.397425034,10.8036894,30.625,68304.33088
93.8,1568.8,7.081262925,9.674646714,30.625,68811.84779
94.6,1567.292647,7.02604406,9.865543141,30.625,69305.71949
95.4,1567.707353,7.509981043,11.86372645,30.625,69770.5579
96.2,1573.117647,7.962251551,12.29563994,30.69264706,70343.90386
97,1578.714706,7.686875287,11.58224667,30.85588235,70898.70313
97.8,1584.601471,7.524773093,11.02603688,30.90882353,71415.84044
98.6,1586.385294,7.41584329,10.62316895,30.98970588,71920.725
99.4,1588.457353,7.474975586,10.62316895,31,72501.50331
100.2,1591.126471,7.44305779,10.62316895,31.05,72997.48346
101,1593.457353,7.446289063,10.62316895,31.11369485,73507.51801
101.8,1594.258824,7.44661219,10.62316895,31.13740809,74004.96342
102.6,1596.229412,7.452967027,10.62316895,31.16893382,74574.98217
103.4,1598.025,7.465138155,10.62316895,31.23492647,75055.73732
104.2,1599.107353,7.448766372,10.41751637,31.25,75565.6114
105,1590.173529,5.995483398,2.66856474,31.16700368,76062.0739
105.8,1559.385294,6.633121266,0,30.59237132,76451.15699
106.6,1463.141176,6.2476304,0,28.60422794,76661.3318
107.4,1351.305882,5.502068015,0,26.45845588,76719.64063
108.2,1244.013235,4.803107767,0,24.32141544,76719.64063
108.9,1106.933824,3.481193991,0,21.76415441,76719.64063
109.7,862.9058824,2.703175264,0,19.07454044,76871.20735
110.5,779.9764706,2.070922852,0,16.91295956,77132.85938
111.3,723.1455882,1.84634938,0,15.38805147,77333.81893
112.1,743.8779412,1.78089815,0,13.50202206,77492.69559
112.8,674.1235294,1.672219669,0,11.31819853,77639.49798
113.6,631.4485294,1.653837316,0,9.097794118,77789.6954
114.4,597.0323529,2.561071059,0,6.076746324,77951.6568
115.2,610.9455882,2.603005802,0,3.102297794,78147.82022
116,641.4426471,2.632410386,0,0.680514706,78349.4318
116.8,665.3970588,2.102086684,0,0.009283088,78551.13107
117.6,610.1661765,2.606991039,0,0,78722.37868
118.4,661.0323529,2.268353631,0,0,78881.78309
119.1,639.1955882,2.289500517,0,0,79049.03217
119.9,652.5676471,2.317720301,0,0,79208.47004
120.7,638.9,2.272482479,0,0,79390.11287
121.5,654.0044118,2.354413201,0,0,79552.65827
122.2,663.9735294,2.129372989,0,0,79727.16011
123,660.0808824,2.107795267,0,0,79883.3625
123.8,659.1558824,2.145349839,0,0,80044.1375
124.6,666.3102941,2.149155561,0,0,80212.55717
125.4,663.7632353,2.147863051,0,0,80373.63235
126.1,656.1397059,2.204518038,0,0,80522.36765
126.9,663.7823529,2.183837891,0,0,80670.40386
127.7,664.3132353,2.171307732,0,0,80831.22886
128.5,666.3455882,2.176082835,0,0,80984.71599
129.2,663.5779412,2.176513672,0,0,81169.2818
130,662.1397059,2.182904412,0,0,81322.58732
130.8,666.4294118,2.200460995,0,0,81477.03217
131.6,665.1352941,2.189761891,0,0,81639.57684
132.4,661.0573529,2.184879079,0,0,81817.72169
133.2,662.3441176,2.205164292,0,0,81973.06434
134,661.9661765,2.230619543,0,0,82133.84963
134.8,665.2279412,2.222433651,0,0,82304.28162
135.6,661.5544118,2.203189625,0,0,82483.49301
136.4,659.9397059,2.216007008,0,0,82646.24081
137.1,658.9147059,2.148293888,0,0,82803.44026
137.9,623.6911765,2.721485811,0,0,82968.12592
138.7,683.3514706,3.23023179,0.012063419,0.740257353,83188.87978
139.5,702.8073529,4.08522662,10.74865005,1.914981618,83484.36581
140.3,1093.680882,8.93217199,19.26301844,3.402205882,83853.30772
141.1,1308.127941,9.156637753,19.31033864,6.410569853,84529.175
141.9,1397.525,9.149636661,19.03779871,8.263235294,85181.45625
142.6,1575.135294,9.897460938,19.29626465,9.740257353,85837.85643
143.4,1778.957353,10.59810863,19.29626465,11.37205882,86671.73015
144.2,1679.689706,10.29271743,19.84698127,12.94568015,87437.98309
145,1472.372059,9.724731445,19.6993121,14.58823529,88164.32426
145.8,1460.264706,9.652099609,19.58007813,15.95735294,88879.18842
146.6,1381.332353,9.583237592,20.63056497,17.53823529,89588.95313
147.4,1495.511765,10.58726591,21.00557215,18.99099265,90393.34688
148.2,1615.116176,11.1529182,20.99609375,20.45330882,91146.58787
149,1733.623529,11.86832204,20.99609375,22.00229779,91965.23585
149.8,1838.663235,12.06751206,21.44269158,23.47876838,92798.91526
150.6,1419.377941,10.71881463,21.59118652,24.76498162,93748.33217
151.4,1339.854412,10.68635828,22.0323989,26.09659926,94509.54136
152.2,1403.985294,11.18041992,22.29682474,27.33161765,95287.04007
153,1469.935294,11.63739373,22.43164063,28.55588235,96099.86985
153.8,1535.720588,11.9401281,22.46517406,29.884375,96984.91728
154.5,1600.338235,12.29894301,22.65104406,31.11020221,97831.58107
155.3,1671.430882,14.39955767,24.71047794,32.47637868,98724.8125
156.1,1754.364706,15.29986213,24.87631405,34.09172794,99753.30919
156.9,1834.945588,15.07062127,24.96793859,35.72261029,100857.7357
157.7,1910.405882,14.9822639,25.14576631,37.13529412,101945.314
158.6,1882.426471,14.85473633,25.26424632,38.44172794,103038.2697
159.4,1517.580882,15.06469727,26.13798254,39.52775735,104061.5873
160.2,1556.183824,15.49707749,26.36173024,40.66176471,105137.7994
160.9,1600.529412,15.76444738,26.96928136,41.81369485,106304.8597
161.7,1654.033824,22.25083295,29.63906681,43.24494485,107469.4158
162.5,1715.267647,23.38253246,29.98046875,44.85165441,108781.946
163.3,1778.072059,23.20937213,30.02929688,46.43409926,110159.2371
164.1,1836.845588,20.31802907,27.97970043,48.12113971,111512.5706
164.9,1874.576471,11.96396772,18.23130888,49.2015625,112775.5754
165.8,1872.986765,9.115097943,13.93436207,49.34889706,113438.1722
166.5,1569.476471,7.179062787,10.84899902,49.17261029,113946.0621
167.3,1513.817647,6.949032054,10.84899902,48.95735294,114350.1577
168.1,1390.639706,6.95513557,12.4739703,48.71470588,114821.0377
168.9,1358.847059,7.377929688,13.48004509,48.52840074,115291.8487
169.7,1355.317647,7.522942038,14.18065688,48.40974265,115811.7149
170.5,1353.579412,7.711002125,14.56718894,48.309375,116375.9447
171.3,1352.483824,8.191707835,16.52329389,48.26056985,117007.8575
172.1,1353.214706,8.372695025,16.55273438,48.32564338,117598.0353
172.9,1355.113235,8.428201114,16.45812988,48.375,118230.5107
173.7,1356.491176,8.18761489,15.73690975,48.44411765,118857.5739
174.5,1357.054412,7.890553194,15.07155474,48.48428309,119462.0077
175.2,1356.245588,7.316966337,13.36759679,48.45395221,120005.5684
176,1349.767647,5.157291188,5.825195313,48.26875,120481.4625
176.8,1330.177941,4.791116153,0,47.70643382,120784.8559
177.6,1303.511765,4.895701689,0,46.51875,120879.9792
178.4,1266.677941,4.735717773,0,45.26176471,120881.2031
179.2,1211.580882,4.414995979,0,43.33170956,120881.2031
180,1389.179412,4.806482652,0,40.88759191,120881.2031
180.8,1471.244118,5.137724035,0,38.70119485,120881.2031
181.6,1410.583824,4.879222197,0,37.02582721,120881.2031
182.4,1359.735294,4.971564798,0.174416935,35.71801471,120881.2031
183.2,1322.404412,3.565530216,4.613791073,34.66525735,121000.7101
184,1302.116176,5.368006089,9.041389017,33.93272059,121372.5219
184.8,1291.123529,6.944615981,13.30056583,33.75,121849.8259
185.6,1291.975,7.270328297,13.54064941,33.77794118,122458.9504
186.4,1296.911765,7.186351103,13.54064941,33.90928309,122995.0452
187.2,1301.411765,7.206887638,13.54064941,34.02371324,123529.5224
188,1304.947059,7.227819106,13.52876551,34.11911765,124136.6004
188.8,1309.895588,7.257080078,13.46130371,34.36029412,124696.0276
189.6,1314.042647,7.246632295,13.46130371,34.46351103,125222.4568
190.4,1318.739706,7.306195427,13.46130371,34.59071691,125760.1322
191.2,1323.572059,7.276934455,13.26599121,34.73088235,126310.6715
191.9,1328.102941,7.13967716,12.98138787,34.82426471,126880.6452
192.7,1331.275,7.150519876,12.94555664,34.90119485,127367.9384
193.5,1333.386765,7.179852654,12.94555664,34.97904412,127851.3154
194.3,1335.436765,7.255464442,12.94555664,35.00965074,128365.296
195.1,1336.807353,6.952550551,12.17055377,35.04852941,128878.921
195.9,1334.838235,5.916137695,8.308177275,35.01158088,129345.1149
196.7,1304.877941,4.871251723,0,34.42077206,129702.9347
197.5,1206.036765,4.587079216,0,31.70137868,129886.4779
198.3,1126.254412,3.690867705,0,29.75744485,129951.23
199.1,999.725,2.980095358,0,28.06930147,130047.557
199.8,940.2161765,1.926772174,0,26.14549632,130260.7688
200.6,772.5705882,1.759679458,0,23.99696691,130427.5864
201.4,697.6441176,1.643066406,0,21.73290441,130566.807
202.1,655.5455882,1.520637063,0,19.30634191,130701.5625
202.9,630.6823529,1.671573415,0,16.70533088,130843.6631
203.7,639.5617647,1.677353803,0,13.6234375,130978.968
204.5,631.8617647,1.684929343,0,10.38170956,131118.1765
205.3,621.475,1.790663775,0,8.079044118,131243.5684
206,608.7352941,2.359583238,0,6.008639706,131383.6233
206.8,616.2544118,2.618228688,0,3.241911765,131550.8145
207.6,600.8205882,2.673950195,0,0.715716912,131731.8851
208.4,628.9367647,2.589649874,0,0.010294118,131914.3901
209.2,624.7147059,2.665943819,0,0,132095.7886
210,664.6367647,2.235897289,0,0,132291.5686
210.8,654.2455882,2.289859547,0,0,132462.4987
211.5,657.9147059,2.274169922,0,0,132629.1237
212.3,652.1014706,2.284545898,0,0,132786.436
213.1,654.5,2.273595473,0,0,132955.1458
213.9,657.1573529,2.277006261,0,0,133116.6176
214.6,660.9897059,2.266737994,0,0,133280.7165
215.4,662.9102941,2.200568704,0,0,133442.1268
216.2,660.1602941,2.198522231,0,0,133595.802
217,665.0411765,2.191413431,0,0,133766.4785
217.8,661.0102941,2.224300609,0,0,133930.321
218.5,657.9691176,2.199563419,0,0,134090.6037
219.3,659.775,2.233743107,0,0,134243.4421
220.1,664.9705882,2.211088293,0,0,134414.0803
220.9,657.3294118,2.216042911,0,0,134580.0943
221.7,655.3176471,2.232235179,0,0,134752.4835
222.4,660.575,2.236004998,0,0,134904.1781
223.2,664.1823529,2.21105239,0,0,135072.7688
224,656.7985294,2.222792682,0,0,135233.8688
224.8,659.4941176,2.236040901,0,0,135399.6829
225.5,663.3558824,2.214391372,0,0,135569.689
226.3,641.4647059,2.384787167,0,0,135729.9425
227.1,639.7985294,3.162087833,1.700942096,0.225367647,135909.3853
227.9,781.65,5.135964786,11.92311006,1.491911765,136150.3224
228.7,1130.933824,8.256297392,17.86538517,3.699264706,136605.1318
229.5,1313.251471,9.426736271,20.60984892,6.507352941,137202.3879
230.3,1573.773529,12.73412368,23.79197065,8.877941176,137941.552
231.1,1823.576471,14.7703283,24.18643727,11.90358456,138952.5119
231.9,1507.995588,8.654282514,8.321569106,14.59411765,140082.0257
232.7,1329.208824,5.00674977,4.847986558,15.50193015,140604.0118
233.4,1216.969118,3.812471278,3.467694451,15.41911765,140879.0877
234.2,1193.925,3.727560604,3.843706916,14.97058824,141104.7502
235,1188.989706,3.985308479,4.341215246,14.50634191,141343.7471
235.8,1177.627941,4.120447495,4.567547966,14.16571691,141613.7335
236.6,1103.722059,4.225643382,5.394466625,13.97123162,141871.9252
237.4,1086.516176,4.527013442,5.458733054,13.86764706,142132.3623
238.1,1059.130882,4.045733284,0,13.66470588,142389.7029
238.9,991.1794118,3.423713235,0,12.846875,142625.8392
239.7,836.6323529,2.891558479,0,9.805974265,142829.898
240.5,698.85,2.949541877,0,6.227757353,143017.6
241.2,650.6705882,2.860358743,0,3.019301471,143202.4292
242,630.1911765,2.955537684,0,1.615349265,143389.552
242.8,649.3867647,2.940853343,0,0.163602941,143587.8575
243.6,638.6882353,2.807617188,0,0,143791.3594
