Time,Speed,Accelerator pedal position,Throttle position,FC_avg_rate,Engine speed,Trip fuel consumption,slope
77,18.07708794,23.19462869,16.71763732,1.423491081,1864.252212,53954.84098,0
78,20.95056692,19.23182665,11.92521627,0.996223382,1766.150442,55270.80213,0
79,22.71792035,20.13587614,11.34208747,1.017042312,1783.783186,56280.54729,0
80,24.38965708,24.26093448,14.3492302,1.46967471,1925.316372,57346.88468,0
81,26.6772677,25.30477068,15.50076915,1.445684112,2000.932522,58913.0531,0
82,28.95706582,24.4519259,15.07506244,1.339273368,1525.945796,60241.60772,0
83,31.0210177,19.22793768,11.76314903,1.050738039,1591.879425,61650.60329,0
84,31.99336283,11.26544243,8.518293263,0.63349523,1639.824115,62518.52088,0
85,32.07190265,7.18580938,6.589528312,0.487166413,1644.619469,63127.27378,0
86,31.84955752,7.066628785,6.357135604,0.507026065,1630.418142,63633.81762,0
87,31.57411504,8.806832913,6.828753716,0.557478913,1615.004425,64114.51632,0
88,31.30088496,8.847045898,6.864240528,0.588141247,1602.853982,64710.87887,0
89,31.11456029,8.847045898,6.821894013,0.608216952,1592.712389,65257.30199,0
90,30.91689712,8.847045898,6.77657676,0.608130531,1583.769912,65913.01881,0
91,30.7920354,9.096992965,6.787406449,0.593205545,1575.448009,66443.29231,0
92,30.65203263,9.745559017,7.028009195,0.634860689,1569.596239,67104.94718,0
93,30.625,10.29209373,7.145893468,0.643744815,1566.949115,67691.67575,0
94,30.625,10.61471585,7.359840596,0.671728084,1567.981195,68377.30752,0
95,30.625,9.620680007,7.028630349,0.606583587,1568.233407,68987.77876,0
96,30.625,10.96410161,7.254676481,0.620514726,1567.05531,69623.71612,0
97,30.67809735,12.38981264,7.929006931,0.721411781,1572.433628,70249.21834,0
98,30.85619469,11.58252817,7.685541474,0.662576051,1579.879425,70950.90445,0
99,30.94358407,10.77940274,7.429220824,0.642794179,1584.873894,71614.09264,0
100,31.0,10.62316895,7.475942426,0.662541482,1587.664823,72242.08048,0
101,31.03761062,10.62316895,7.448557626,0.648688122,1590.826327,72927.81886,0
102,31.10985896,10.62316895,7.449448847,0.64654487,1593.257743,73535.53595,0
103,31.14988938,10.62316895,7.448044498,0.647979466,1595.244469,74231.31485,0
104,31.20381637,10.62316895,7.456443584,0.650874585,1596.978982,74827.99157,0
105,31.25,10.47468607,7.456740658,0.644876936,1599.118363,75493.14076,0
106,31.12894082,2.734564047,6.125337044,0.479518114,1587.482301,76088.35232,0
107,30.10723175,0.0,6.621936359,0.235740459,1538.754425,76525.93874,0
108,27.35259956,0.0,5.827264026,0.019842367,1397.248894,76701.66496,0
109,24.75442478,0.0,4.939256516,0.0,1266.080752,76719.64063,0
110,21.64180033,0.0,3.552813235,0.166784776,1088.225664,76729.74281,0
111,18.42097622,0.0,2.476568982,0.321021156,841.0785398,76963.96322,0
112,16.06208518,0.0,1.911129572,0.223805655,732.125,77225.13814,0
113,13.9663302,0.0,1.805263283,0.206599143,744.5707965,77468.79231,0
114,11.26603982,0.0,1.651325057,0.182228291,674.4424779,77640.1698,0
115,8.331374447,0.0,1.849041154,0.190619815,618.289823,77838.67298,0
116,4.521086836,0.0,2.62737443,0.275356056,608.8185841,78037.18238,0
117,1.201949668,0.0,2.686951224,0.270386822,624.9269912,78310.61186,0
118,0.024681969,0.0,2.145439756,0.198812569,663.1050885,78552.10523,0
119,0.0,0.0,2.607227427,0.21625242,622.3207965,78754.16759,0
120,0.0,0.0,2.195672229,0.203462044,653.5719027,78969.63924,0
121,0.0,0.0,2.354228602,0.219069759,644.3827434,79166.83117,0
122,0.0,0.0,2.297082412,0.206884334,640.0962389,79384.2453,0
123,0.0,0.0,2.269211491,0.235437984,657.8573009,79586.88675,0
124,0.0,0.0,2.11195144,0.201128664,664.2079646,79805.54909,0
125,0.0,0.0,2.134231972,0.204231195,657.1216814,79999.37279,0
125,0.0,0.0,2.151030144,0.205717644,666.5464602,80202.16773,0
126,0.0,0.0,2.146925124,0.195468059,662.1792035,80404.41814,0
127,0.0,0.0,2.229133538,0.201370644,658.3783186,80576.80296,0
128,0.0,0.0,2.159159162,0.204187984,664.704646,80792.41662,0
129,0.0,0.0,2.176551481,0.208509057,664.8617257,80975.30379,0
130,0.0,0.0,2.177280662,0.2019151,664.0630531,81197.34859,0
131,0.0,0.0,2.192593465,0.206573216,663.2334071,81381.69953,0
132,0.0,0.0,2.193565706,0.211006637,666.0110619,81594.25747,0
133,0.0,0.0,2.186597976,0.201439782,661.3130531,81794.35205,0
134,0.0,0.0,2.21436087,0.210781941,662.8938053,81994.28844,0
135,0.0,0.0,2.228944491,0.218430241,663.4413717,82208.60454,0
136,0.0,0.0,2.204962536,0.208396709,662.6073009,82414.1203,0
137,0.0,0.0,2.217061541,0.205475664,660.215708,82628.57329,0
138,0.0,0.0,2.212416387,0.2121474,653.9800885,82818.65169,0
139,0.164477323,0.0,3.026182462,0.309898714,627.1504425,83058.38274,0
140,1.503318584,5.217344571,3.394607949,0.33960177,711.460177,83352.98783,0
141,3.168487279,18.73744188,8.243094925,0.823743432,1010.769912,83808.13067,0
142,6.62963219,19.25867131,9.120623833,0.848243916,1315.012168,84566.56305,0
143,8.779867257,19.14969925,9.40665186,0.872925885,1454.761062,85475.43238,0
144,10.73160951,19.29626465,10.36825264,1.000648161,1699.081858,86274.57218,0
145,12.69365321,19.71052052,10.36954897,0.939496336,1721.445796,87341.04522,0
146,14.70132743,19.68499918,9.728652819,0.924026894,1478.544248,88201.90072,0
147,16.49557522,19.7789285,9.390879943,0.884376728,1408.74115,89157.80572,0
148,18.3803927,21.02007571,10.30357158,0.981462597,1445.987832,90023.99558,0
149,20.17284292,20.99609375,11.04290717,1.025390625,1593.970133,91026.92091,0
150,22.09983407,21.01948156,11.8440071,1.084381914,1740.784292,91980.05738,0
151,23.86144912,21.5331221,11.96710367,1.076465708,1754.788717,93163.9393,0
152,25.52488938,21.80235196,10.27580869,0.952329923,1320.550885,94107.20617,0
153,27.08476217,22.24944798,11.14350716,1.04558732,1390.799779,95170.78236,0
154,28.61946903,22.42825939,11.63745981,1.079499101,1472.992257,96132.05973,0
155,30.23990597,22.48194872,12.03456642,1.080276894,1554.115044,97238.1297,0
156,31.82860896,23.75963599,13.27468737,1.196012514,1637.028761,98281.51162,0
157,33.71059181,24.87131304,15.21655057,1.377851908,1735.394912,99540.00277,0
158,35.75926438,24.98139238,15.0861622,1.321712528,1836.876106,100886.1081,0
159,37.50331858,25.15863739,14.89360438,1.366349212,1927.86615,102175.4599,0
160,38.98748617,25.68164927,14.87507778,1.338028899,1669.524336,103619.1088,0
161,40.38779038,26.35184769,15.5090062,1.395913993,1544.807522,104870.717,0
162,41.80565542,27.22465043,16.32849769,1.420699668,1601.130531,106309.7967,0
163,43.64159292,29.72501232,22.60218257,1.749006153,1668.788717,107731.1181,0
164,45.61386892,30.02475975,23.46402059,1.722863662,1745.922566,109525.122,0
165,47.68846792,28.97346969,21.55667195,1.651998064,1821.856195,111130.4046,0
166,49.15286228,18.87987525,12.31046694,0.906206789,1873.189159,112719.9092,0
167,49.29728982,12.88989582,8.713227669,0.641800332,1813.641593,113533.1402,0
168,49.09637721,10.84899902,6.901158696,0.511105158,1520.149336,114179.3211,0
169,48.7680448,11.83236721,6.929191657,0.572853291,1436.090708,114651.1177,0
170,48.54646018,13.45471407,7.355843603,0.680041828,1359.309735,115283.9194,0
171,48.38398783,14.25411258,7.580836473,0.717894428,1355.005531,115925.7996,0
172,48.28159569,15.5025786,7.893223045,0.748703678,1352.767699,116662.1998,0
173,48.29639104,16.55273438,8.320820226,0.796045354,1352.759956,117406.4469,0
174,48.37582965,16.43458003,8.428955078,0.798854051,1354.706858,118181.4295,0
175,48.45326327,15.59934363,8.114948104,0.744728291,1356.747788,119002.8446,0
176,48.4940542,14.72686498,7.824004857,0.681856679,1357.045354,119656.3819,0
177,48.33268805,9.033554212,5.969805422,0.513421253,1352.837389,120354.3868,0
178,47.76631637,0.056471023,4.627572119,0.158713012,1331.390487,120755.0835,0
179,46.34015487,0.0,4.87814034,0.0,1298.011062,120880.2825,0
180,44.58655973,0.0,4.616526376,0.0,1247.435841,120881.2031,0
181,41.73237002,0.0,4.501990934,0.0,1288.201327,120881.2031,0
182,38.94821626,0.0,5.193686696,0.0,1479.480088,120881.2031,0
183,36.84935011,0.0,4.881948285,0.0,1403.721239,120881.2031,0
184,35.28097345,1.634040765,4.289313122,0.220936463,1343.154867,120881.2031,0
185,34.17685288,7.302991479,4.710752774,0.555352945,1309.267699,121244.9596,0
186,33.75442478,12.78086975,6.727181494,0.685754287,1292.200221,121773.8182,0
187,33.79756637,13.54064941,7.248680992,0.716788233,1292.980088,122519.5307,0
188,33.95167312,13.54064941,7.194532546,0.704473175,1298.54646,123188.7027,0
189,34.06768529,13.54032533,7.215192677,0.703384264,1303.834071,123887.8476,0
190,34.31747788,13.46875756,7.255675729,0.702373133,1309.209071,124607.8468,0
191,34.46591538,13.46130371,7.257080078,0.693817409,1314.544248,125247.9614,0
192,34.64677821,13.45979134,7.309743155,0.681865321,1320.318584,125980.16,0
193,34.77931416,13.03629917,7.188483044,0.658280904,1326.094027,126600.7174,0
194,34.8924917,12.9530645,7.146406596,0.620575221,1330.561947,127311.5801,0
195,34.98416759,12.94555664,7.180083958,0.633305102,1333.321903,127883.7165,0
195,35.0282771,12.85308568,7.236311921,0.639466952,1335.891593,128532.0214,0
196,35.02502765,11.21326548,6.573864422,0.563061739,1336.803097,129132.9683,0
197,34.62126659,0.723104561,4.854671512,0.317279107,1313.640487,129646.2208,0
198,31.66046737,0.0,4.557084615,0.064971654,1205.045354,129884.6806,0
199,29.26673119,0.0,3.431229043,0.156993225,1065.973451,129964.7544,0
200,27.07411504,0.0,2.402246526,0.273368363,1002.836283,130154.3675,0
201,24.47801438,0.0,1.794190533,0.182755462,799.8772124,130405.1159,0
202,21.67740597,0.0,1.6305569,0.174286159,697.2577434,130564.117,0
203,18.65251659,0.0,1.526554074,0.167277378,647.4081858,130746.4994,0
204,15.20443861,0.0,1.742769765,0.181312223,629.3904867,130900.1135,0
205,11.09195243,0.0,1.639766187,0.16442547,639.8827434,131092.9939,0
206,8.09056969,0.0,1.842586551,0.17388862,621.2721239,131242.8931,0
207,5.387721239,0.0,2.486723503,0.216261062,607.1725664,131428.7665,0
208,1.881014934,0.0,2.542330311,0.228100802,617.6891593,131630.0159,0
209,0.082204093,0.0,2.699536349,0.245653001,613.130531,131872.021,0
210,0.0,0.0,2.624268658,0.230987279,630.2831858,132096.2767,0
211,0.0,0.0,2.241367576,0.215180794,660.9911504,132330.486,0
212,0.0,0.0,2.288197205,0.214463496,657.5630531,132534.9363,0
213,0.0,0.0,2.274261745,0.206642353,652.6227876,132749.2373,0
214,0.0,0.0,2.273991678,0.207670769,654.4115044,132943.4285,0
215,0.0,0.0,2.275909154,0.216321557,658.2688053,133146.3534,0
216,0.0,0.0,2.240341322,0.210272055,661.3307522,133353.7204,0
217,0.0,0.0,2.190486942,0.200644704,660.9236726,133552.6141,0
218,0.0,0.0,2.201910778,0.209926369,664.8716814,133750.6735,0
