time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,altitude,latitude,longitude,satelites,bearing,correct_altitude,slope
99831,2024-08-11 18:59:21,2024-08-11 17:06:50,1,54,False,9.286,37.038,32,3.516,0.0,81,0,857.25,14.5,13,4815.227,-5.438,38260.141,0.232,1276,35.705662,51.267105,9,180.0,1241,0.0
100331,2024-08-11 18:59:23,2024-08-11 17:06:52,1,54,False,9.286,37.06,32,3.566,0.0,81,0,859.5,14.5,13,4815.227,-4.875,38400.766,0.232,1276,35.705662,51.267097,9,270.0,1241,0.0
100831,2024-08-11 18:59:23,2024-08-11 17:06:52,1,54,False,9.286,37.079,32,3.486,0.0,81,0,850.5,14.5,13,4815.227,-4.875,38502.422,0.232,1276,35.705662,51.267097,9,270.0,1241,0.0
101331,2024-08-11 18:59:23,2024-08-11 17:06:52,1,54,False,9.286,37.058,32,3.521,0.0,81,0,865.75,14.5,13,4815.227,-4.812,38620.828,0.232,1276,35.705662,51.267097,9,270.0,1241,0.0
101831,2024-08-11 18:59:24,2024-08-11 17:06:52,1,54,False,9.214,37.038,32,3.555,0.0,81,0,861.75,14.5,13,4815.227,-5.438,38744.578,0.232,1276,35.705662,51.267097,9,270.0,1241,0.0
102331,2024-08-11 18:59:27,2024-08-11 17:06:54,1,54,False,9.286,37.06,32,3.516,0.0,81,0,850.75,14.5,13,4815.227,-4.625,38875.688,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
102831,2024-08-11 18:59:27,2024-08-11 17:06:54,1,54,False,9.214,37.079,32,3.523,0.0,81,0,851.25,14.5,13,4815.227,-4.75,38977.156,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
103331,2024-08-11 18:59:27,2024-08-11 17:06:54,1,54,False,9.286,37.097,32,3.506,0.0,81,0,855.0,14.5,13,4815.227,-4.875,39097.312,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
103831,2024-08-11 18:59:27,2024-08-11 17:06:54,1,54,False,9.0,37.113,33,3.523,0.0,81,0,852.5,14.5,13,4815.227,-4.688,39224.047,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
104331,2024-08-11 18:59:29,2024-08-11 17:06:56,1,54,False,9.071,37.127,42,6.697,0.0,81,0,876.5,14.5,14,4815.227,-2.062,39377.516,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
104831,2024-08-11 18:59:29,2024-08-11 17:06:56,1,54,False,8.929,36.983,49,6.209,42.728,81,0,829.5,14.5,14,4815.227,5.688,39554.0,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
105331,2024-08-11 18:59:29,2024-08-11 17:06:56,1,54,False,9.071,36.971,85,30.727,45.599,81,0,1021.0,14.5,14,4815.227,46.125,39931.781,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
105831,2024-08-11 18:59:29,2024-08-11 17:06:56,1,54,False,9.071,37.235,77,13.771,17.813,81,0,1503.5,14.5,14,4815.227,36.0,40825.047,0.232,1276,35.705662,51.267097,10,270.0,1241,0.0
106331,2024-08-11 18:59:31,2024-08-11 17:06:58,1,54,False,9.071,37.629,61,11.279,18.039,81,0,1287.5,14.5,14,4815.227,26.562,41403.609,0.232,1276,35.705666,51.267097,10,0.0,1241,0.0
106831,2024-08-11 18:59:31,2024-08-11 17:06:58,1,54,False,9.0,37.435,61,11.592,16.357,81,0,1331.0,14.5,14,4815.227,27.062,41698.281,0.232,1276,35.705666,51.267097,10,0.0,1241,0.0
107331,2024-08-11 18:59:31,2024-08-11 17:06:58,1,54,False,9.071,37.26,58,12.941,34.518,81,0,1632.25,14.5,14,4815.227,33.125,42127.25,0.232,1276,35.705666,51.267097,10,0.0,1241,0.0
