time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,altitude,latitude,longitude,satelites,bearing,correct_altitude,slope
3765430,2024-08-11 18:47:13,2024-08-11 15:26:01,2,41,False,9.714,32.961,31,10.023,15.543,86,60,2723.25,14.5,3,4814.672,8.75,1439778.125,0.232,1269,35.707165,51.269547,12,191.28,1251,-1.754385964913177
3765930,2024-08-11 18:47:13,2024-08-11 15:26:01,2,41,False,9.643,33.234,32,10.449,15.543,87,60,2732.75,14.5,3,4814.684,10.875,1440143.0,0.232,1269,35.707165,51.269547,12,191.28,1251,-1.754385964913177
3766430,2024-08-11 18:47:13,2024-08-11 15:26:01,2,41,False,9.714,33.322,33,10.674,15.277,86,61,2745.5,14.5,3,4814.691,12.5,1440554.625,0.232,1269,35.707165,51.269547,12,191.28,1251,-1.754385964913177
3766930,2024-08-11 18:47:15,2024-08-11 15:26:03,2,41,False,9.643,33.559,33,10.574,15.137,86,61,2762.0,14.5,3,4814.699,12.125,1441050.125,0.232,1269,35.706871,51.269466,12,192.61,1251,-1.754385964913177
3767430,2024-08-11 18:47:15,2024-08-11 15:26:03,2,41,False,9.714,33.614,33,10.4,14.819,86,61,2765.5,14.5,3,4814.707,11.125,1441369.375,0.232,1269,35.706871,51.269466,12,192.61,1251,-1.754385964913177
3767930,2024-08-11 18:47:15,2024-08-11 15:26:03,2,41,False,9.714,34.057,33,10.537,14.767,86,61,2772.0,14.5,3,4814.715,11.062,1441779.75,0.232,1269,35.706871,51.269466,12,192.61,1251,-1.754385964913177
3768430,2024-08-11 18:47:15,2024-08-11 15:26:03,2,41,False,9.643,34.22,32,10.162,13.989,86,61,2778.5,14.5,3,4814.723,9.5,1442173.75,0.232,1269,35.706871,51.269466,12,192.61,1251,-1.754385964913177
3768930,2024-08-11 18:47:16,2024-08-11 15:26:05,2,41,False,9.643,34.367,29,9.164,11.346,87,61,2786.25,14.5,3,4814.734,4.75,1442639.625,0.232,1269,35.70657,51.269386,12,192.18,1251,-1.754385964913177
3769430,2024-08-11 18:47:16,2024-08-11 15:26:05,2,41,False,9.714,34.498,27,8.623,10.648,86,62,2795.75,14.5,3,4814.742,2.812,1442877.875,0.232,1269,35.70657,51.269386,12,192.18,1251,-1.754385964913177
3769930,2024-08-11 18:47:16,2024-08-11 15:26:05,2,41,False,9.714,34.735,26,7.861,8.435,86,61,2761.0,14.5,3,4814.75,1.312,1443158.625,0.232,1269,35.70657,51.269386,12,192.18,1251,-1.754385964913177
3770430,2024-08-11 18:47:16,2024-08-11 15:26:05,2,41,False,9.714,34.948,24,6.762,7.782,86,61,2785.0,14.5,3,4814.758,-1.562,1443417.625,0.232,1269,35.70657,51.269386,12,192.18,1251,-1.754385964913177
