time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,altitude,latitude,longitude,satelites,bearing,correct_altitude,slope
1487389,2024-08-11 17:56:38,2024-08-11 14:48:03,3,54,False,9.643,28.596,27,4.98,0.0,88,16,1927.0,14.5,1,4788.91,-3.688,1214370.5,0.152,1320,35.751244,51.156143,12,8.29,1286,-2.076124567472506
1487889,2024-08-11 17:56:38,2024-08-11 14:48:03,3,54,False,9.714,29.462,22,4.352,0.0,88,15,1758.25,14.5,1,4788.914,-12.438,1214474.125,0.152,1320,35.751244,51.156143,12,8.29,1286,-2.076124567472506
1488389,2024-08-11 17:56:39,2024-08-11 14:48:05,3,54,False,9.643,29.732,23,3.338,0.0,89,13,1290.5,14.5,2,4788.914,-14.938,1214610.75,0.152,1320,35.751316,51.156162,12,12.09,1286,-2.076124567472506
1488889,2024-08-11 17:56:39,2024-08-11 14:48:05,3,54,False,9.571,30.327,25,3.127,0.0,89,13,1037.0,14.5,2,4788.918,-4.0,1214694.75,0.152,1320,35.751316,51.156162,12,12.09,1286,-2.076124567472506
1489389,2024-08-11 17:56:39,2024-08-11 14:48:05,3,54,False,9.714,31.569,28,3.143,11.746,88,12,841.25,14.5,2,4788.918,2.812,1214794.25,0.152,1320,35.751316,51.156162,12,12.09,1286,-2.076124567472506
1489889,2024-08-11 17:56:39,2024-08-11 14:48:05,3,54,False,9.714,32.137,33,3.625,19.839,88,11,797.0,14.5,2,4788.922,10.125,1214897.25,0.152,1320,35.751316,51.156162,12,12.09,1286,-2.076124567472506
1490389,2024-08-11 17:56:43,2024-08-11 14:48:07,3,54,False,9.714,32.492,39,4.775,27.985,89,10,765.75,14.5,2,4788.922,22.25,1215039.625,0.152,1320,35.751377,51.156185,12,17.01,1286,-2.076124567472506
1490889,2024-08-11 17:56:43,2024-08-11 14:48:07,3,54,False,9.714,32.851,49,7.574,29.968,88,10,780.25,14.5,2,4788.922,43.0,1215166.25,0.152,1320,35.751377,51.156185,12,17.01,1286,-2.076124567472506
1491389,2024-08-11 17:56:43,2024-08-11 14:48:07,3,54,False,9.714,33.135,64,3.426,0.0,88,11,827.0,14.5,2,4788.926,43.312,1215430.875,0.152,1320,35.751377,51.156185,12,17.01,1286,-2.076124567472506
1491889,2024-08-11 17:56:43,2024-08-11 14:48:07,3,54,False,9.714,33.037,31,2.49,0.0,87,11,819.5,14.5,2,4788.926,3.562,1215624.125,0.152,1320,35.751377,51.156185,12,17.01,1286,-2.076124567472506
1492389,2024-08-11 17:56:45,2024-08-11 14:48:09,3,54,False,9.643,34.008,29,2.795,4.385,87,10,769.5,14.5,2,4788.93,2.312,1215730.0,0.152,1320,35.751423,51.156193,12,8.03,1286,-2.076124567472506
1492889,2024-08-11 17:56:45,2024-08-11 14:48:09,3,54,False,9.786,34.175,31,3.35,20.953,87,8,698.0,14.5,2,4788.93,5.688,1215800.25,0.152,1320,35.751423,51.156193,12,8.03,1286,-2.076124567472506
