Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE,slope
0,1408.5,324.01404,324.01404,1408.5,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,2552.937,549.4491,225.43503,1144.437,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,3274.375,855.717,306.26788,721.4380000000001,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,3967.578,1202.0072,346.29022,693.203,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,4631.062,1561.796,359.78885,663.4840000000004,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,5204.780999999999,1924.6136,362.81766,573.7189999999991,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,5780.062,2286.5369,361.92316,575.2810000000009,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,6387.530999999999,2650.038,363.5012,607.4689999999991,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,7046.547,3040.1501,390.11215,659.0160000000005,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
0,7903.343,3529.78,489.62994,856.7960000000003,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
2,8574.39,3929.1116,399.3315,671.0470000000005,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
3,8982.702999999998,4332.523,403.41144,408.3129999999983,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
4,9553.670999999998,4711.325,378.80234,570.9680000000008,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
4,10129.327999999998,5167.1147,455.7896,575.6569999999992,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
5,10926.670999999998,5670.5435,503.4289,797.3430000000008,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
6,12143.499999999998,6432.909,762.36584,1216.8289999999997,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
8,14888.108999999999,7716.424,1283.5144,2744.6090000000004,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
13,15610.515,8592.304,875.87976,722.4060000000009,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
15,15796.874999999998,9029.262,436.9585,186.35999999999876,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
14,16815.39,9590.419,561.1571,1018.5149999999994,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
14,19253.421000000002,10577.481,987.0623,2438.0310000000027,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
17,19822.359,11243.243,665.7615,568.9379999999983,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
18,20345.828,11849.003,605.75995,523.469000000001,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
19,21051.484,12376.781,527.7784,705.655999999999,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
19,22000.812,13096.132,719.3507,949.3280000000013,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
20,23913.187,14064.338,968.20605,1912.375,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
22,25294.734,15131.162,1066.8241,1381.5469999999987,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
24,26790.343,16379.625,1248.4629,1495.6090000000004,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
26,28790.531,17886.283,1506.6576,2000.1879999999983,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
29,29123.078,18351.773,465.49005,332.5470000000023,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
28,29700.421000000002,18832.69,480.91644,577.3430000000008,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
27,32134.531,19929.88,1097.1909,2434.109999999997,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
29,33154.297000000006,20765.504,835.6228,1019.7660000000033,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
30,33942.50000000001,21434.24,668.73615,788.2030000000013,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
30,35480.531,22533.926,1099.6852,1538.0309999999954,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
32,36556.39000000001,23436.092,902.1664,1075.859000000004,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
