Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE,slope
0,245.375,376.75186,376.75186,245.375,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
0,731.625,766.2103,389.45844,486.25,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
0,1574.375,1589.7344,823.5241,842.75,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
3,1984.625,2404.6523,814.9179,410.25,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
6,2504.8129999999655,3215.1162,810.46387,520.1879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
8,3416.75,4555.0405,1339.9242,911.9370000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
12,4520.625,5988.3174,1433.2771,1103.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
16,4971.1870000000345,6584.1016,595.78436,450.56200000003446,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
16,5990.375,7904.7256,1320.6238,1019.1879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
19,7422.625,9724.695,1819.97,1432.25,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
23,8898.875,11591.177,1866.4816,1476.25,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
27,9888.062999999966,12423.836,832.65894,989.1879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
28,11076.0,13744.692,1320.8566,1187.9370000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
30,12702.875,15705.061,1960.3684,1626.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
33,14530.75,17709.951,2004.8909,1827.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
36,14758.125,18298.176,588.22424,227.375,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
35,15432.187000000034,19022.033,723.8575,674.0620000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
35,16666.437000000034,20170.38,1148.348,1234.25,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
36,18048.125,21736.906,1566.525,1381.6879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
38,19192.812999999966,23271.414,1534.5077,1144.6879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
40,20522.187000000034,24478.494,1207.0793,1329.374000000069,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
41,21761.0,26020.959,1542.4648,1238.8129999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
43,22972.187000000034,27187.865,1166.9071,1211.1870000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
44,23962.75,27992.32,804.45526,990.5629999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
44,24474.75,28692.11,699.78894,512.0,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
44,24636.687000000034,29035.658,343.54834,161.93700000003446,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
43,24636.687000000034,29266.674,231.01643,0.0,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
41,25330.812999999966,29798.959,532.2849,694.1259999999311,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
41,26099.75,30286.434,487.47372,768.9370000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
40,27141.25,30969.074,682.6415,1041.5,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
40,28464.125,31972.707,1003.6319,1322.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
40,30611.75,34096.953,2124.2456,2147.625,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
43,33284.75,36432.176,2335.2214,2673.0,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
46,35596.312999999966,38369.586,1937.4114,2311.5629999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
48,38087.25,40721.316,2351.7302,2490.9370000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
51,40532.75,42782.566,2061.2502,2445.5,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
53,42644.125,44792.74,2010.1737,2111.375,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
55,44453.562999999966,46001.973,1209.2332,1809.4379999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
56,44989.312999999966,46370.785,368.81308,535.75,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
54,46198.625,47589.152,1218.3661,1209.3120000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
55,48285.187000000034,49068.85,1479.698,2086.5620000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
56,50427.125,50553.152,1484.2992,2141.9379999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
57,51622.875,51844.473,1291.322,1195.75,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
58,52324.75,52253.16,408.68646,701.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
57,52710.375,52331.36,78.19813,385.625,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
55,53253.875,52429.047,97.68628,543.5,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
51,53850.437000000034,52577.37,148.32498,596.5620000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
43,54439.75,52770.125,192.75505,589.3129999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
33,54938.75,52988.168,218.04364,499.0,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
25,55468.625,53347.77,359.6016,529.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
21,56931.812999999966,54947.79,1600.019,1463.1879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
24,58726.375,56870.535,1922.746,1794.5620000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
28,60996.25,59264.473,2393.939,2269.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
33,63920.125,61890.36,2625.8887,2923.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
38,66566.43700000003,64266.934,2376.5735,2646.3120000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
42,67116.375,64721.645,454.71118,549.9379999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
41,68253.18700000003,65746.11,1024.4626,1136.8120000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
42,69998.125,67045.37,1299.2563,1744.9379999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
43,72169.625,68931.1,1885.7356,2171.5,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
45,74536.5,71317.68,2386.575,2366.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
48,76379.375,73301.04,1983.3622,1842.875,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
50,78629.06299999997,75246.57,1945.5343,2249.6879999999655,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
52,80895.125,77168.24,1921.6685,2266.0620000000345,309.7872614734775,170323.30742188278,87.93691948482359,1.819583654586829
