Speed,Actual,Predicted_sum,Predicted,rate
0,949.875,421.70114,421.70114,949.875
0,1671.0780000000013,850.33356,428.63242,721.2030000000013
0,2199.8899999999994,1279.329,428.99542,528.8119999999981
0,2708.6399999999994,1707.0029,427.67398,508.75
0,3232.5780000000013,2133.1365,426.13348,523.9380000000019
0,3732.3120000000054,2557.8496,424.71304,499.734000000004
0,4198.859000000004,2981.3445,423.49487,466.54699999999866
0,4651.389999999999,3403.8176,422.47318,452.5309999999954
0,5142.797000000006,3825.4492,421.63162,491.4070000000065
0,5589.422000000006,4246.39,420.94073,446.625
0,6048.656000000003,4666.766,420.37613,459.23399999999674
0,6522.359000000004,5086.6846,419.91837,473.70300000000134
0,6955.406000000003,5506.2314,419.54666,433.04699999999866
0,7404.047000000006,5925.4736,419.242,448.64100000000326
0,7881.297000000006,6344.4663,418.9928,477.25
0,8293.047000000006,6763.257,418.79074,411.75
0,8721.797000000006,7181.8833,418.62668,428.75
0,9176.312000000005,7600.3765,418.49323,454.5149999999994
0,9584.719000000005,8018.7563,418.3799,408.40699999999924
0,10008.922000000006,8437.047,418.29028,424.20300000000134
0,10405.719000000005,8855.264,418.21652,396.79699999999866
0,10761.343,9273.417,418.15305,355.62399999999616
0,11111.953000000001,9691.519,418.10184,350.6100000000006
0,11486.875,10109.578,418.0596,374.92199999999866
0,11782.969000000005,10527.604,418.02563,296.0940000000046
0,12128.109000000004,10945.598,417.99457,345.1399999999994
0,12477.75,11363.568,417.97043,349.640999999996
0,12802.031000000003,11781.52,417.95096,324.2810000000027
0,13148.797000000006,12199.454,417.9342,346.76600000000326
0,13520.687000000005,12617.374,417.9199,371.8899999999994
0,13865.031000000003,13035.283,417.90897,344.3439999999973
0,14217.953000000001,13453.184,417.90002,352.92199999999866
0,14588.453000000001,13871.075,417.8913,370.5
0,14925.906000000003,14288.961,417.8857,337.45300000000134
0,15278.062000000005,14706.841,417.87967,352.1560000000027
0,15657.39,15124.718,417.87698,379.32799999999406
0,15992.437000000005,15542.591,417.87274,335.04700000000594
0,16357.297000000006,15960.463,417.87253,364.8600000000006
0,16726.172000000006,16378.331,417.86804,368.875
0,17077.328,16796.195,417.864,351.1559999999954
0,17430.687000000005,17214.059,417.8638,353.359000000004
0,17798.812000000005,17631.92,417.86133,368.125
0,18143.875,18049.78,417.85934,345.06299999999464
0,18510.64,18467.639,417.86023,366.7649999999994
0,18879.687000000005,18885.498,417.85977,369.04700000000594
0,19224.297000000006,19303.355,417.85733,344.6100000000006
0,19567.608999999997,19721.21,417.85532,343.3119999999908
0,19951.625,20139.064,417.8544,384.01600000000326
0,20281.172000000006,20556.92,417.85486,329.54700000000594
0,20638.593000000008,20974.773,417.8542,357.4210000000021
0,21009.108999999997,21392.627,417.85397,370.5159999999887
