time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,longitude,satelites,bearing,slope
2447554,2024-08-06 07:01:55,2024-08-06 07:01:53,13,54,TRUE,13.1,1,32,23.192,44,8.383,0,87,11,1788,14.5,564,3,24,1,4097.16,-15.062,3260982.25,0.324,13.375,0,1334,35.790688,51.002758,12,92.95,0
2451554,2024-08-06 07:02:03,2024-08-06 07:01:59,13,54,TRUE,13.2,97,32,24.45,41,5.818,0,86,8,1311.5,14.5,561,3,24,1,4097.172,-6.5,3263130,0.39,17.625,0,1334,35.790672,51.002945,12,96.02,0
2452554,2024-08-06 07:02:03,2024-08-06 07:01:59,13,54,TRUE,13,97,32,24.946,42,4.629,0,86,7,989,14.5,561,3,24,1,4097.176,0.688,3263474,0.303,21.125,0,1334,35.790672,51.002945,12,96.02,0
2453554,2024-08-06 07:02:03,2024-08-06 07:01:59,13,54,TRUE,13.1,97,32,25.432,45,4.021,0,86,5,767,14.5,561,3,24,1,4097.176,5.562,3263766.75,0.261,23.062,0,1334,35.790672,51.002945,12,96.02,0
2460554,2024-08-06 07:02:09,2024-08-06 07:02:08,13,61,TRUE,13.1,1,32,22.697,44,9.033,0,86,4,2032.25,14.5,558,3,24,1,4097.18,-14.125,3267427,0.371,13.25,0,1334,35.790665,51.003036,12,95.42,0
2461554,2024-08-06 07:02:09,2024-08-06 07:02:08,13,61,TRUE,13,97,32,22.741,48,7.109,0,86,4,1331.25,14.5,558,3,24,1,4097.184,9.25,3267770.5,0.61,15.75,0,1334,35.790665,51.003036,12,95.42,0
2462554,2024-08-06 07:02:09,2024-08-06 07:02:08,13,61,TRUE,13.1,97,32,23.526,42,7.158,0,86,0,1572.25,14.5,558,3,24,13,4097.184,4.188,3268356.75,0.54,13.75,0,1334,35.790665,51.003036,12,95.42,0
2490554,2024-08-06 07:02:44,2024-08-06 07:02:38,13,61,TRUE,12.7,99,32,23.164,53,5.059,0,86,0,837,14.5,552,3,24,13,4097.211,-5,3280759,0.348,22.062,0,1334,35.790646,51.003384,12,93.85,0
2491554,2024-08-06 07:02:44,2024-08-06 07:02:38,13,61,TRUE,12.4,99,32,23.789,55,4.885,0,86,0,691.5,14.5,552,3,24,13,4097.211,6.312,3281077.75,0.314,22.875,0,1334,35.790646,51.003384,12,93.85,0
2492554,2024-08-06 07:02:44,2024-08-06 07:02:38,13,61,TRUE,12.7,99,32,23.527,57,5.811,0,86,0,825,14.5,549,3,24,13,4097.211,-2.438,3281423,0.407,21.25,0,1334,35.790646,51.003384,12,93.85,0
