time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,direction,longitude,satelites,correct_altitude,slope
1321230,2024-07-22 07:01:55,2024-07-22 07:01:52,1.0,100,True,13.3,1,32,67.142,177,99.951,81.461,84,62,2784.75,10.2,588,3,8,3,2888.793,165.625,71136.375,9.695,14.875,0.08,1384,35.904099,0,50.849388,12,1357,-0.3827751196171982
1322230,2024-07-22 07:02:00,2024-07-22 07:01:55,1.0,100,True,13.0,1,32,68.428,179,100.104,72.4,85,67,3049.5,10.3,594,3,8,3,2888.809,171.0,81519.172,10.414,17.25,0.08,1384,35.903908,0,50.849968,12,1357,-0.3827751196171982
1323230,2024-07-22 07:02:00,2024-07-22 07:01:55,1.0,100,True,13.1,1,32,69.546,173,100.072,54.413,85,72,3265.75,10.7,600,3,8,3,2888.828,172.75,91117.406,10.143,19.125,0.08,1384,35.903908,0,50.849968,12,1357,-0.3827751196171982
1324230,2024-07-22 07:02:00,2024-07-22 07:01:55,1.0,100,True,12.9,1,32,70.434,144,32.938,49.673,85,77,3467.0,12.3,606,3,8,3,2888.848,140.812,101376.375,6.365,18.938,0.08,1384,35.903908,0,50.849968,12,1357,-0.3827751196171982
1325230,2024-07-22 08:45:33,2024-07-22 07:01:58,1.0,100,False,13.2,1,33,68.293,123,41.201,53.534,85,81,3665.75,12.3,612,3,8,3,2888.871,134.5,108123.844,7.179,19.562,0.08,1384,35.903664,0,50.850658,12,1357,-0.3827751196171982
1326230,2024-07-22 08:45:33,2024-07-22 07:01:58,1.0,100,False,13.0,1,32,67.071,151,100.133,53.564,86,85,3838.75,11.0,618,3,8,3,2888.895,160.688,115172.984,10.295,22.562,0.08,1384,35.903664,0,50.850658,12,1357,-0.3827751196171982
1327230,2024-07-22 08:45:33,2024-07-22 07:01:58,1.0,100,False,13.2,1,32,68.207,40,11.334,0.0,85,87,3972.25,14.5,618,3,24,3,2888.918,-4.375,121509.047,1.054,18.125,0.08,1384,35.903664,0,50.850658,12,1357,-0.3827751196171982
1328230,2024-07-22 07:02:04,2024-07-22 07:02:01,1.0,100,True,13.2,1,32,68.955,74,21.98,44.736,86,86,2750.25,14.5,618,3,8,4,2888.941,81.688,122754.719,2.909,13.0,0.08,1384,35.903378,0,50.851406,12,1357,-0.3827751196171982
1329230,2024-07-22 07:02:04,2024-07-22 07:02:01,1.0,100,True,13.3,1,32,69.55,118,38.604,44.51,86,87,2740.5,13.3,621,3,8,4,2888.965,115.062,125395.688,4.558,12.062,0.08,1384,35.903378,0,50.851406,12,1357,-0.3827751196171982
1330230,2024-07-22 07:02:04,2024-07-22 07:02:01,1.0,100,True,13.2,1,32,69.928,91,19.857,23.819,86,89,2793.25,14.5,624,3,8,4,2888.988,79.438,129760.938,2.174,14.375,0.08,1384,35.903378,0,50.851406,12,1357,-0.3827751196171982
