Actual,Predicted,MAE,MSE,MAPE,mae,mean_mae,last_error
0.0,-85.295654,99.67546,22994.727,27.35705077648163,,2.3039177384865996,1.751189228301123
162.672,41.320343,99.67546,22994.727,27.35705077648163,0.7459898261532408,2.3039177384865996,1.751189228301123
404.75,200.34433,99.67546,22994.727,27.35705077648163,0.5050170969734403,2.3039177384865996,1.751189228301123
614.672,363.07236,99.67546,22994.727,27.35705077648163,0.4093234115105292,2.3039177384865996,1.751189228301123
875.828,523.5991,99.67546,22994.727,27.35705077648163,0.4021667496357732,2.3039177384865996,1.751189228301123
1076.485,683.0178,99.67546,22994.727,27.35705077648163,0.36551108468766397,2.3039177384865996,1.751189228301123
1288.219,843.974,99.67546,22994.727,27.35705077648163,0.34485207872263957,2.3039177384865996,1.751189228301123
1498.828,1013.4098,99.67546,22994.727,27.35705077648163,0.3238651799939686,2.3039177384865996,1.751189228301123
1769.125,1186.689,99.67546,22994.727,27.35705077648163,0.3292226383098989,2.3039177384865996,1.751189228301123
1930.266,1364.2236,99.67546,22994.727,27.35705077648163,0.2932458013558753,2.3039177384865996,1.751189228301123
2138.125,1540.3859,99.67546,22994.727,27.35705077648163,0.2795622800350775,2.3039177384865996,1.751189228301123
2367.875,1719.1227,99.67546,22994.727,27.35705077648163,0.2739808055746186,2.3039177384865996,1.751189228301123
2655.75,2034.0441,99.67546,22994.727,27.35705077648163,0.23409805139791018,2.3039177384865996,1.751189228301123
3016.2031,2533.268,99.67546,22994.727,27.35705077648163,0.16011358784161456,2.3039177384865996,1.751189228301123
3709.625,3036.5955,99.67546,22994.727,27.35705077648163,0.1814279071334704,2.3039177384865996,1.751189228301123
4370.328,3480.225,99.67546,22994.727,27.35705077648163,0.20366961015283072,2.3039177384865996,1.751189228301123
4995.141,3937.3208,99.67546,22994.727,27.35705077648163,0.21176983792849885,2.3039177384865996,1.751189228301123
5494.563,4438.9307,99.67546,22994.727,27.35705077648163,0.19212306783997202,2.3039177384865996,1.751189228301123
6030.953,4981.331,99.67546,22994.727,27.35705077648163,0.17403916097505656,2.3039177384865996,1.751189228301123
6645.125,5564.6396,99.67546,22994.727,27.35705077648163,0.16259820545136466,2.3039177384865996,1.751189228301123
7315.703,6226.779,99.67546,22994.727,27.35705077648163,0.14884748601740666,2.3039177384865996,1.751189228301123
7891.3594,6909.8857,99.67546,22994.727,27.35705077648163,0.12437321002006327,2.3039177384865996,1.751189228301123
8600.142,7671.9033,99.67546,22994.727,27.35705077648163,0.10793295040942347,2.3039177384865996,1.751189228301123
9419.735,8501.447,99.67546,22994.727,27.35705077648163,0.09748554497552218,2.3039177384865996,1.751189228301123
10437.25,9416.209,99.67546,22994.727,27.35705077648163,0.09782663057797784,2.3039177384865996,1.751189228301123
11380.485,10377.966,99.67546,22994.727,27.35705077648163,0.08809106114546086,2.3039177384865996,1.751189228301123
12682.281,11544.959,99.67546,22994.727,27.35705077648163,0.08967803189347405,2.3039177384865996,1.751189228301123
