time_bucket,time,trs_mt_gr_st\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,tq_imep_ref\CCP:1,sys_pps_pct\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,sys_iat\CCP:1,knck_ron_fac\CCP:1,sys_ect\CCP:1,time_to_heat
36.0,36.01941745,1,13.74072266,10.375,35.6640625,26.72119141,297.5,0.0,-1.875,14.11669922,0.139373779,6.524658203,0.439453125,1112.75,22274.70313,29.5703125,1,28.75,
37.0,37.00757333,1,13.22998047,6.6484375,52.125,40.35644531,456.5625,0.0,13.75,14.09814453,0.210479736,7.165527344,0.6875,915.75,22622.67188,29.671875,1,28.9921875,
38.0,38.00741996,1,13.22998047,3.015625,48.94140625,37.14599609,404.6875,0.0,23.875,13.94482422,0.193725586,5.966186523,0.416015625,756.25,23111.35938,29.765625,1,28.9921875,
39.0,39.00692842,0,13.24169922,0.25,49.54296875,37.71972656,412.6875,0.0,15.9375,13.85253906,0.196685791,5.447387695,0.426757813,762.125,23805.5625,29.8046875,1,28.9921875,
40.0,40.00839687,0,13.18310547,0.0,50.21875,38.53759766,421.5625,0.0,27.6875,13.83398438,0.20098877,5.545043945,0.446289063,753.5,24115.70313,29.765625,1,28.9921875,
41.0,41.00756632,0,13.16015625,0.0,50.9765625,39.2578125,432.0625,0.0,24.875,13.96044922,0.204711914,5.718994141,0.45703125,762.25,24776.64063,29.7421875,1,29.296875,
42.0,42.00562793,0,13.18310547,0.0,50.671875,39.19677734,430.625,0.0,23.1875,13.93554688,0.204437256,5.770874023,0.467773438,768.0,25097.64063,29.734375,1,29.296875,
43.0,43.01059967,0,13.1484375,0.0,50.94921875,39.34326172,432.75,0.0,29.0,13.97900391,0.205169678,5.895996094,0.46484375,771.125,25722.54688,29.7265625,1,29.296875,
44.0,44.00942057,0,13.21826172,0.0,51.00390625,39.11132813,429.1875,0.0,19.1875,13.99169922,0.204437256,5.703735352,0.465820313,778.375,26059.71875,29.671875,1,29.640625,
45.0,45.00670958,0,13.18310547,0.0,51.0546875,39.74609375,435.75,0.0,30.625,13.93554688,0.206359863,5.630493164,0.440429688,741.125,26399.71875,29.703125,1,29.640625,
