time_bucket,time,sys_iat\CCP:1,knck_ron_fac\CCP:1,hw_bat_vlt\CCP:1,sys_ect\CCP:1,sys_trip_fc\CCP:1,afm_stk_flw\CCP:1,fmsp_af_sp\CCP:1,sys_eng_spd\CCP:1,tq_imep_ref\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,sys_veh_spd\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_fc_avg_rate\CCP:1,trs_mt_gr_st\CCP:1
33.15,33.1567708,26.8984375,1,14.09033203,26.796875,15604.48438,0.272888184,13.49267578,1994.125,859.125,66.75,56.03942871,99.93591309,11.0,87.6484375,58.05664063,1.791015625,1
33.800000000000004,33.8022048,26.8984375,1,14.09033203,26.796875,15604.48438,0.272094727,13.61523438,2064.625,852.5625,64.375,56.26525879,99.93286133,11.625,87.890625,57.92236328,1.875976563,1
34.45,34.4599178,26.8984375,1,14.09033203,26.796875,15604.48438,0.272064209,13.72802734,2190.125,850.375,63.0,59.42382813,99.95727539,12.25,87.69921875,57.95898438,2.009765625,1
35.1,35.1140288,26.8984375,1,14.09033203,26.796875,15604.48438,0.272277832,13.88085938,2344.5,847.625,61.0625,59.42382813,99.99389648,13.5,87.6328125,57.95898438,2.08203125,1
35.75,35.7556688,26.8984375,1,14.09033203,26.796875,15604.48438,0.272766113,13.95849609,2426.0,847.0,58.5625,53.95812988,99.95117188,14.125,87.57421875,58.03222656,2.145507813,1
36.4,36.4050078,26.8984375,1,14.09033203,26.796875,15604.48438,0.274749756,14.05029297,2492.0,849.375,56.3125,53.29284668,100.0183105,14.625,87.625,58.47167969,2.2265625,1
37.050000000000004,37.0505728,26.8984375,1,14.09033203,26.796875,15604.48438,0.274749756,14.09033203,2538.375,849.5625,55.0625,43.60046387,100.0488281,15.0,87.3984375,58.53271484,2.25,1
37.7,37.7043098,26.8984375,1,14.09033203,26.796875,15604.48438,0.272613525,13.74072266,1957.25,852.375,35.0625,43.60046387,99.92370605,15.375,87.671875,58.08105469,1.741210938,1
38.35,38.3530568,27.0,1,14.06689453,27.328125,26875.0,0.274780273,13.49267578,1826.625,837.1875,68.6875,39.52941895,99.96032715,16.25,88.00390625,58.93554688,1.706054688,1
39.0,39.0028208,27.0,1,14.06689453,27.328125,26875.0,0.252746582,13.65283203,1928.75,808.625,63.125,0.0,16.93725586,17.375,81.8515625,53.80859375,1.586914063,1
39.65,39.6576688,27.0,1,14.06689453,27.328125,26875.0,0.15222168,13.86816406,1606.5,465.75,-8.3125,0.0,8.91418457,17.1328125,52.9375,32.64160156,0.319335938,1
40.300000000000004,40.3117048,27.0,1,14.06689453,27.328125,26875.0,0.14050293,13.03369141,1138.5,408.875,-22.3125,0.0,6.958007813,14.125,50.125,29.8828125,0.135742188,2
40.95,40.9528778,26.625,1,14.07617188,27.828125,29827.98438,0.137512207,13.85498047,1042.875,391.6875,-0.625,0.0,6.271362305,11.875,49.11328125,29.27246094,0.442382813,2
41.6,41.6082018,26.6328125,1,14.01220703,27.9765625,30169.59375,0.13873291,13.86816406,967.875,392.6875,-0.625,0.0,6.060791016,10.375,49.546875,29.51660156,0.428710938,1
42.25,42.2575158,26.6328125,1,14.01220703,27.9765625,30169.59375,0.139770508,13.88085938,908.125,397.125,2.125,0.0,5.874633789,8.75,50.21875,29.79736328,0.397460938,1
42.9,42.9149738,26.6640625,1,14.06347656,28.1796875,30631.34375,0.14755249,13.86816406,914.25,421.3125,4.4375,0.0,6.427001953,7.25,52.4609375,31.39648438,0.434570313,1
