time,sys_iat\CCP:1,knck_ron_fac\CCP:1,hw_bat_vlt\CCP:1,sys_ect\CCP:1,Trip_fuel_consumption,afm_stk_flw\CCP:1,fmsp_af_sp\CCP:1,sys_eng_spd\CCP:1,tq_imep_ref\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,Vehicle_Speed,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_fc_avg_rate\CCP:1,Current_gear_shift_position_(Current_gear)
45.0107688,26.859375,1,14.00585938,28.609375,31705.84375,0.15713501,13.84228516,848.5,448.6875,8.9375,0,6.17980957,0.25,55.8828125,33.48388672,0.443359375,0
46.0032788,26.8515625,1,14.04492188,28.7265625,32032.5625,0.152770996,13.85498047,822,436,7.875,0,5.902099609,0,54.8125,32.51953125,0.41796875,0
47.0009058,26.8515625,1,14.09033203,28.8671875,32388.10938,0.15145874,13.86816406,806.375,432.0625,7.375,0,5.682373047,0,54.36328125,32.23876953,0.383789063,0
48.0115308,26.8359375,1,14.04492188,28.9453125,32576.14063,0.150024414,13.86816406,793.5,426.875,6.75,0,5.511474609,0,54.015625,31.93359375,0.374023438,0
49.0032558,26.8515625,1,14.05419922,29.1953125,33188.875,0.148345947,13.88085938,780.5,423.1875,6.5625,0,5.541992188,0,53.5,31.50634766,0.364257813,0
50.0029028,26.8671875,1,14.10253906,29.3828125,33616.04688,0.147949219,13.88085938,784.75,422.1875,6.125,0,5.453491211,0,53.37109375,31.49414063,0.383789063,0
51.0034268,26.859375,1,14.08544922,29.5,33912.6875,0.146209717,13.89404297,785.125,414.9375,5.625,0,5.407714844,0,53.0234375,31.07910156,0.384765625,0
52.0132718,26.8515625,1,14.09619141,29.6640625,34290.84375,0.144927979,13.89404297,778.875,412.25,4.9375,0,5.337524414,0,52.73828125,30.87158203,0.362304688,0
53.0149348,26.8671875,1,14.03222656,29.8046875,34555.98438,0.143768311,13.89404297,770.125,408.1875,5,0,5.264282227,0,52.21875,30.65185547,0.35546875,0
54.0020918,26.9375,1,14.07275391,30.015625,35012.98438,0.143127441,13.90673828,769.5,406.25,5.625,0,5.2734375,0,52.0234375,30.46875,0.356445313,0
55.0080078,26.8984375,1,14.08251953,30.1171875,35235.3125,0.143432617,13.90673828,774.875,408.0625,4.5,0,5.209350586,0,52.28125,30.52978516,0.375,0
56.0079128,26.90625,1,14.06054688,30.2890625,35610.75,0.143676758,13.90673828,777.125,408.875,4.25,0,5.285644531,0,52.23828125,30.65185547,0.368164063,0
57.0017608,26.9375,1,14.03222656,30.546875,36150.71875,0.142456055,13.91992188,771.875,405.25,4.375,0,5.160522461,0,51.9375,30.29785156,0.3515625,0
58.0016858,26.953125,1,14.12158203,30.734375,36507.84375,0.142181396,13.93261719,763.125,405.5625,5.125,0,5.181884766,0,51.8671875,30.18798828,0.346679688,0
59.0185098,26.9375,1,14.04492188,30.9375,36895.3125,0.141784668,13.93261719,763.25,403.875,5.0625,0,5.136108398,0,51.75390625,30.22460938,0.357421875,0
60.0020538,26.9765625,1,14.04492188,31.0625,37121.85938,0.140838623,13.94580078,775.375,400.1875,3.9375,0,5.117797852,0,51.4375,29.98046875,0.368164063,0
61.0108928,26.96875,1,14.10253906,31.3359375,37624.79688,0.141296387,13.94580078,764.25,401.875,4.9375,0,5.17578125,0,51.6171875,30.04150391,0.348632813,0
62.0004658,26.9765625,1,14.09619141,31.484375,37886.40625,0.141571045,13.94580078,767.125,402.6875,4.8125,0,5.20324707,0,51.69140625,30.13916016,0.350585938,0
63.0057978,26.9609375,1,14.09619141,31.7265625,38330.60938,0.142211914,13.95849609,765.625,404.0625,4.8125,0,5.17578125,0,51.90625,30.2734375,0.365234375,0
64.0069078,26.9609375,1,14.09326172,31.8671875,38603.89063,0.141357422,13.95849609,770.375,402.5625,4,0,5.206298828,0,51.6015625,30.06591797,0.357421875,0
65.0139048,26.96875,1,14.00878906,32,38871.51563,0.142303467,13.97167969,765.375,404.875,4.75,0,5.218505859,0,52.03125,30.28564453,0.353515625,0
66.0066988,27.015625,1,14.02587891,32.2421875,39367.21875,0.147003174,13.95849609,783.375,418.125,6.125,0,5.383300781,1.1171875,53.39453125,31.32324219,0.376953125,1
67.0154788,27.0390625,1,14.05419922,32.359375,39555.73438,0.147216797,13.95849609,909.125,420,15.625,8.770751953,5.700683594,2.625,52.6953125,31.54296875,0.462890625,1
68.0164058,27.046875,1,14.14306641,32.515625,39862.23438,0.178222656,13.98486328,1388.25,537.125,34.875,18.25866699,11.2121582,5.25,55.1796875,37.67089844,0.88671875,1
69.0088748,27.0078125,1,14.07617188,32.671875,40278.21875,0.173278809,13.99804688,1904.75,536.9375,35.3125,11.25183105,12.65258789,9.625,51.9140625,36.99951172,1.049804688,1
70.0076748,27.0078125,1,14.07617188,32.671875,40278.21875,0.162261963,14.11669922,2248.875,504.75,28.0625,11.12670898,13.39416504,12.125,48.3046875,34.80224609,1.09375,1
