time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_veh_spd\CCP:1,fmsp_af_sp\CCP:1,sys_bst_t\CCP:1,hw_bat_vlt\CCP:1,sys_map\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,afm_stk_flw_pct\CCP:1,sys_bst_p\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,knck_ron_fac\CCP:1,sys_iat\CCP:1
43.0,43.00760858,,27.34375,13.5,14.15673828,23.8515625,13.69335938,63.328125,0.250946045,670.0,51.41601563,88.0546875,15.5625,14.49279785,15.18859863,1.44140625,1894.875,31279.14063,1,23.9453125
44.0,44.00114944,,27.6328125,13.125,14.26513672,23.8984375,13.68701172,49.40625,0.196563721,499.875,40.57617188,88.44921875,-8.375,0.0,9.921264648,0.7421875,1653.0,32899.35938,1,23.9453125
45.0,45.00552904,,28.0390625,11.125,14.29248047,23.9140625,13.61523438,40.76171875,0.164489746,415.375,33.67919922,87.75390625,-18.0625,0.0,7.015991211,0.465820313,1316.875,33225.875,1,23.90625
46.0,46.00804924,,28.5390625,7.625,14.27880859,23.8984375,13.58251953,48.10546875,0.198974609,500.9375,40.73486328,87.55078125,-9.0,0.0,7.312011719,0.745117188,1115.5,33992.23438,1,23.90625
47.0,47.00671943,,28.8046875,5.25,14.09033203,23.96875,13.63232422,58.85546875,0.239532471,604.5625,49.04785156,87.46484375,10.0,0.0,8.276367188,0.890625,991.25,34493.75,1,23.90625
48.0,48.00326323,,29.09375,2.8828125,13.93261719,23.9765625,13.51513672,62.359375,0.261627197,667.6875,53.56445313,87.19921875,17.625,0.0,8.963012695,0.833007813,951.5,35567.14063,1,23.96875
49.0,49.00413916,,29.375,0.0,13.93261719,23.9921875,13.68408203,63.46875,0.258361816,657.0,52.90527344,87.375,19.1875,0.0,8.508300781,0.75,963.0,36125.92188,1,23.96875
50.0,50.00971512,,29.65625,0.0,13.95849609,24.0,13.81201172,58.296875,0.237365723,600.3125,48.59619141,87.45703125,20.3125,0.0,7.064819336,0.59765625,906.375,37107.65625,1,23.96875
51.0,51.00384971,,29.875,0.0,13.95849609,24.0078125,13.70898438,55.8515625,0.224945068,567.8125,46.05712891,87.61328125,11.0625,0.0,7.019042969,0.6171875,977.125,37910.42188,1,23.984375
52.0,52.00439264,,30.09375,0.0,14.10351563,24.0703125,13.51806641,49.0703125,0.200561523,500.6875,41.06445313,87.48046875,2.5,0.0,6.314086914,0.508789063,981.875,38230.14063,1,23.984375
53.0,53.00125558,,30.3203125,0.0,14.10351563,24.0625,13.51220703,48.9765625,0.200622559,501.0,41.07666016,87.578125,1.6875,0.0,6.430053711,0.536132813,992.875,38926.5,1,23.984375
54.0,54.00648203,,30.546875,0.0,14.10351563,24.078125,13.58837891,48.6484375,0.197723389,496.625,40.69824219,87.36328125,5.75,0.0,6.41784668,0.517578125,977.5,39263.46875,1,24.078125
55.0,55.00042598,,30.765625,0.0,14.14355469,24.0703125,13.49023438,48.76953125,0.196685791,490.375,40.27099609,87.52734375,1.8125,0.0,6.384277344,0.53515625,991.5,39930.84375,1,24.078125
