Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE,"c_FC_Dil_vec
[liter]",Ac,Acc
31.875,62228.39063,50028.06,685.18634,1173.75,260.2361751,127588.6507,36.91109304,0.00066598,665.9796396,49304.53182
32,62822.98438,50725.508,697.449,594.59375,260.2361751,127588.6507,36.91109304,0.000689386,689.3859106,49993.91773
32.125,63972.95313,51404.652,679.14575,1149.96875,260.2361751,127588.6507,36.91109304,0.000689737,689.737228,50683.65496
32.1875,64527.42188,52000.39,595.73737,554.46875,260.2361751,127588.6507,36.91109304,0.000675199,675.1992921,51358.85425
32.0234375,65010.79688,52425.01,424.62167,483.375,260.2361751,127588.6507,36.91109304,0.000562662,562.6622061,51921.51646
30.7734375,65624.92188,52756.242,331.23224,614.125,260.2361751,127588.6507,36.91109304,0.000483211,483.2107721,52404.72723
28.5703125,66112,53050.7,294.4562,487.07812,260.2361751,127588.6507,36.91109304,0.000401369,401.3693421,52806.09657
26.1875,66358.32813,53321.63,270.93036,246.32813,260.2361751,127588.6507,36.91109304,0.000420978,420.9779384,53227.07451
22.8828125,66584.1875,53577,255.37016,225.85937,260.2361751,127588.6507,36.91109304,0.000407456,407.4555525,53634.53006
20.0859375,67023.5,53826.695,249.69608,439.3125,260.2361751,127588.6507,36.91109304,0.000360362,360.361774,53994.89183
16.53125,67218.51563,54069.16,242.46576,195.01563,260.2361751,127588.6507,36.91109304,0.000274445,274.4450968,54269.33693
12.7890625,67589.53125,54316.18,247.0186,371.01562,260.2361751,127588.6507,36.91109304,0.000196671,196.6713909,54466.00832
11.125,67799.53125,54579.965,263.78687,210,260.2361751,127588.6507,36.91109304,0.000154196,154.196294,54620.20462
9.703125,68241.57813,54830.832,250.86847,442.04688,260.2361751,127588.6507,36.91109304,0.000161225,161.2252777,54781.42989
7.4296875,68480.07813,55081.54,250.7088,238.5,260.2361751,127588.6507,36.91109304,0.000200704,200.7042844,54982.13418
3.3984375,68999.03125,55329.758,248.2195,518.95312,260.2361751,127588.6507,36.91109304,0.000215631,215.6306358,55197.76481
0.2890625,69279.3125,55627.465,297.70566,280.28125,260.2361751,127588.6507,36.91109304,0.000206614,206.6144309,55404.37924
0,69901.04688,55961.99,334.5228,621.73438,260.2361751,127588.6507,36.91109304,0.00021909,219.0902538,55623.4695
0,70216.10938,56292.617,330.6274,315.0625,260.2361751,127588.6507,36.91109304,0.000236876,236.8755981,55860.3451
0,70534.42188,56618.184,325.56555,318.3125,260.2361751,127588.6507,36.91109304,0.000241613,241.6125603,56101.95766
0,71122.125,56941.16,322.9771,587.70312,260.2361751,127588.6507,36.91109304,0.000243082,243.0823094,56345.03997
0,71396.64063,57262.543,321.38464,274.51563,260.2361751,127588.6507,36.91109304,0.00024109,241.0897087,56586.12968
0,71984.84375,57581.957,319.41406,588.20312,260.2361751,127588.6507,36.91109304,0.000249428,249.4281473,56835.55782
0,72274.9375,57899.812,317.85715,290.09375,260.2361751,127588.6507,36.91109304,0.000255962,255.9615072,57091.51933
0,72821.23438,58216.445,316.63257,546.29688,260.2361751,127588.6507,36.91109304,0.000252661,252.6605604,57344.17989
0,73109.8125,58532.113,315.66956,288.57812,260.2361751,127588.6507,36.91109304,0.000259817,259.8172583,57603.99715
0,73376.1875,58846.42,314.3095,266.375,260.2361751,127588.6507,36.91109304,0.000259031,259.0314484,57863.0286
0,73931.6875,59160.027,313.60645,555.5,260.2361751,127588.6507,36.91109304,0.000261414,261.4138739,58124.44247
0,74178.78125,59473.617,313.59076,247.09375,260.2361751,127588.6507,36.91109304,0.000262633,262.6330413,58387.07551
0,74724.82813,59787.297,313.6811,546.04688,260.2361751,127588.6507,36.91109304,0.000257504,257.5038208,58644.57933
0,74994.96875,60102.273,314.97583,270.14062,260.2361751,127588.6507,36.91109304,0.000257309,257.3090414,58901.88837
0,75531.54688,60419.832,317.56033,536.57813,260.2361751,127588.6507,36.91109304,0.000264658,264.6577698,59166.54614
0,75865.1875,60741.332,321.49927,333.64062,260.2361751,127588.6507,36.91109304,0.000265126,265.1264741,59431.67262
0,76475.67188,61068.035,326.70242,610.48438,260.2361751,127588.6507,36.91109304,0.000264424,264.4237865,59696.0964
0,76791.92188,61404.42,336.38855,316.25,260.2361751,127588.6507,36.91109304,0.000264677,264.6770175,59960.77342
0,77415.32813,61761.918,357.49704,623.40625,260.2361751,127588.6507,36.91109304,0.000314715,314.7145996,60275.48802
0,77772,62169.82,407.90274,356.67187,260.2361751,127588.6507,36.91109304,0.000430428,430.4276705,60705.91569
0,78378.71875,62770.79,600.9705,606.71875,260.2361751,127588.6507,36.91109304,0.000447871,447.871031,61153.78672
3.2265625,79020.53125,63473.164,702.37415,641.8125,260.2361751,127588.6507,36.91109304,0.000575012,575.0121448,61728.79887
7.3984375,79681.28125,64014.207,541.0411,660.75,260.2361751,127588.6507,36.91109304,0.000792779,792.7788227,62521.57769
8.75,80004.35938,64574.89,560.6817,323.07813,260.2361751,127588.6507,36.91109304,0.001023198,1023.198465,63544.77616
9.59375,81168.84375,65520.105,945.2149,1164.48437,260.2361751,127588.6507,36.91109304,0.00064943,649.4302486,64194.2064
13.296875,82095.65625,66428.46,908.3584,926.8125,260.2361751,127588.6507,36.91109304,0.00043522,435.220408,64629.42681
16.03125,82753.57813,67006.28,577.8216,657.92188,260.2361751,127588.6507,36.91109304,0.000601256,601.2564652,65230.68328
16.109375,83424.92188,67783.414,777.13135,671.34375,260.2361751,127588.6507,36.91109304,0.000768881,768.8807834,65999.56406
18.59375,84519.40625,68670.07,886.6532,1094.48437,260.2361751,127588.6507,36.91109304,0.000789898,789.8976604,66789.46172
20.5,85079.46875,69610.25,940.17847,560.0625,260.2361751,127588.6507,36.91109304,0.000836825,836.8249733,67626.28669
22.4765625,85695.25,70621.78,1011.5342,615.78125,260.2361751,127588.6507,36.91109304,0.000881337,881.3373547,68507.62405
24.28125,87070,71865.984,1244.2068,1374.75,260.2361751,127588.6507,36.91109304,0.000916117,916.1168651,69423.74091
26.71875,87867.875,73200.695,1334.7133,797.875,260.2361751,127588.6507,36.91109304,0.001001645,1001.644504,70425.38542
28.875,89611.90625,74700.87,1500.1699,1744.03125,260.2361751,127588.6507,36.91109304,0.001106686,1106.685595,71532.07101
31.21875,90592.82813,76324.516,1623.6521,980.92188,260.2361751,127588.6507,36.91109304,0.001217313,1217.312931,72749.38394
33.7421875,92650.01563,77625.12,1300.6045,2057.1875,260.2361751,127588.6507,36.91109304,0.00101668,1016.680216,73766.06416
35.6953125,93008.40625,78258.125,633.011,358.39062,260.2361751,127588.6507,36.91109304,0.000662869,662.8693513,74428.93351
35.484375,93889.70313,78797.2,539.082,881.29688,260.2361751,127588.6507,36.91109304,0.000901016,901.0164974,75329.95001
35.4375,94569.45313,79673.734,876.5306,679.75,260.2361751,127588.6507,36.91109304,0.001172275,1172.275011,76502.22502
36.4453125,95367.73438,80918.49,1244.7551,798.28125,260.2361751,127588.6507,36.91109304,0.001364652,1364.652348,77866.87737
37.96875,97175.3125,82479.28,1560.7893,1807.57812,260.2361751,127588.6507,36.91109304,0.001479347,1479.34655,79346.22392
39.9453125,98404.03125,84380.055,1900.7772,1228.71875,260.2361751,127588.6507,36.91109304,0.001519485,1519.485102,80865.70902
42.484375,100648.875,86422.81,2042.7598,2244.84375,260.2361751,127588.6507,36.91109304,0.001322727,1322.727143,82188.43616
45.046875,101810.9531,88405.414,1982.6049,1162.0781,260.2361751,127588.6507,36.91109304,0.001255659,1255.658937,83444.0951
47.34375,102914.1875,90169.766,1764.3492,1103.2344,260.2361751,127588.6507,36.91109304,0.001280558,1280.558259,84724.65336
49.21875,104698.1875,91541.69,1371.9198,1784,260.2361751,127588.6507,36.91109304,0.001238396,1238.395526,85963.04889
50.3046875,105497.0625,92656.33,1114.6431,798.875,260.2361751,127588.6507,36.91109304,0.001111941,1111.940704,87074.98959
50.9140625,107008.6406,93707.414,1051.0873,1511.5781,260.2361751,127588.6507,36.91109304,0.001070044,1070.043683,88145.03327
51.4140625,107811.8594,94737.414,1030.002,803.2188,260.2361751,127588.6507,36.91109304,0.000947797,947.7973803,89092.83065
51.84375,109395.7344,95711.945,974.528,1583.875,260.2361751,127588.6507,36.91109304,0.000845525,845.5254338,89938.35609
52.09375,110222.125,96673.15,961.203,826.3906,260.2361751,127588.6507,36.91109304,0.000835421,835.4213705,90773.77746
52.4921875,111558.25,97431.11,757.9632,1336.125,260.2361751,127588.6507,36.91109304,0.000827864,827.8638796,91601.64134
52.3046875,112209.3281,98108.89,677.77814,651.0781,260.2361751,127588.6507,36.91109304,0.000823774,823.7741222,92425.41546
52.0703125,112844,98766.92,658.0338,634.6719,260.2361751,127588.6507,36.91109304,0.00081706,817.0604866,93242.47595
51.75,114078.1406,99446.19,679.26807,1234.1406,260.2361751,127588.6507,36.91109304,0.000824246,824.2462478,94066.72219
51.4609375,114661.5781,100161.77,715.5876,583.4375,260.2361751,127588.6507,36.91109304,0.000821269,821.2692092,94887.9914
51.2578125,115881.1563,100828.38,666.60657,1219.5782,260.2361751,127588.6507,36.91109304,0.000770374,770.3738052,95658.36521
51.09375,116431.2188,101244.54,416.15652,550.0625,260.2361751,127588.6507,36.91109304,0.000593905,593.9050019,96252.27021
50.078125,116645.875,101525.734,281.19913,214.6562,260.2361751,127588.6507,36.91109304,0.000441251,441.2514995,96693.52171
47.515625,116645.875,101776.516,250.78058,0,260.2361751,127588.6507,36.91109304,0.000447375,447.3753098,97140.89702
45.34375,116645.875,102024.14,247.6241,0,260.2361751,127588.6507,36.91109304,0.000437202,437.2019824,97578.099
42.828125,116645.875,102271.484,247.33984,0,260.2361751,127588.6507,36.91109304,0.00034824,348.2400148,97926.33902
40.5234375,116645.875,102526.29,254.80525,0,260.2361751,127588.6507,36.91109304,0.000274386,274.3856819,98200.7247
38.140625,116645.875,102801.25,274.96088,0,260.2361751,127588.6507,36.91109304,0.00018702,187.0200865,98387.74478
36.25,117367.2188,103162.53,361.2822,721.3438,260.2361751,127588.6507,36.91109304,0.000135923,135.9228496,98523.66763
35.546875,117776.2969,103597.2,434.67203,409.0781,260.2361751,127588.6507,36.91109304,0.000119868,119.8675269,98643.53516
35.09375,118567.8125,104063.67,466.47266,791.5156,260.2361751,127588.6507,36.91109304,0.000158278,158.2780437,98801.8132
34.8046875,119006.6875,104575.92,512.2512,438.875,260.2361751,127588.6507,36.91109304,0.000333651,333.6508232,99135.46403
34.796875,119971.8125,105116.15,540.22723,965.125,260.2361751,127588.6507,36.91109304,0.000425473,425.4734521,99560.93748
34.828125,120497.5938,105706.15,589.99976,525.7813,260.2361751,127588.6507,36.91109304,0.000457965,457.9647821,100018.9023
35.125,121057.5156,106300.305,594.1591,559.9218,260.2361751,127588.6507,36.91109304,0.000475285,475.2854654,100494.1877
35.421875,122054.8594,106850.03,549.7243,997.3438,260.2361751,127588.6507,36.91109304,0.000546163,546.1631641,101040.3509
35.5,122519.5,107389.74,539.7081,464.6406,260.2361751,127588.6507,36.91109304,0.000584811,584.8113137,101625.1622
35.6171875,123414.8281,107913.98,524.23505,895.3281,260.2361751,127588.6507,36.91109304,0.000589602,589.6018489,102214.7641
35.625,123878.2031,108432.28,518.3034,463.375,260.2361751,127588.6507,36.91109304,0.000579578,579.5779131,102794.342
35.625,124788.4531,108942.83,510.5493,910.25,260.2361751,127588.6507,36.91109304,0.000573993,573.9930925,103368.3351
35.5234375,125253.4531,109457.555,514.7297,465,260.2361751,127588.6507,36.91109304,0.000571096,571.0958522,103939.4309
35.5,125704.5313,109914.445,456.8889,451.0782,260.2361751,127588.6507,36.91109304,0.00053449,534.4895054,104473.9204
35.34375,126328.3438,110242.945,328.5015,623.8125,260.2361751,127588.6507,36.91109304,0.000406377,406.377392,104880.2978
34.4375,126573.9219,110476.92,233.97665,245.5781,260.2361751,127588.6507,36.91109304,0.000391143,391.1428163,105271.4406
32.109375,127117.0156,110722.125,245.20624,543.0937,260.2361751,127588.6507,36.91109304,0.000366911,366.9105052,105638.3511
28.9609375,127419.2969,110986.836,264.70856,302.2813,260.2361751,127588.6507,36.91109304,0.000388796,388.7963138,106027.1474
26.890625,127514.2969,111252.055,265.21634,95,260.2361751,127588.6507,36.91109304,0.000403963,403.9629868,106431.1104
23.9296875,127514.2969,111505.414,253.36206,0,260.2361751,127588.6507,36.91109304,0.000333883,333.8829215,106764.9934
20.7734375,127514.2969,111750.086,244.67511,0,260.2361751,127588.6507,36.91109304,0.000269794,269.7935442,107034.7869
17.5234375,127894.5625,111988.766,238.6833,380.2656,260.2361751,127588.6507,36.91109304,0.000204026,204.0256208,107238.8125
14.9375,128146.9844,112226.375,237.60751,252.4219,260.2361751,127588.6507,36.91109304,0.000136447,136.4474199,107375.2599
12.7734375,128655.1719,112462.95,236.57642,508.1875,260.2361751,127588.6507,36.91109304,0.000101305,101.3053588,107476.5653
9.390625,128884.9844,112695.72,232.76584,229.8125,260.2361751,127588.6507,36.91109304,0.000105519,105.5185096,107582.0838
5.171875,129339.5,112925.99,230.27133,454.5156,260.2361751,127588.6507,36.91109304,0.000143282,143.2817576,107725.3656
0.9140625,129549.4688,113174.06,248.06816,209.9688,260.2361751,127588.6507,36.91109304,0.000174311,174.3112998,107899.6769
0.125,129964.25,113458.43,284.37073,414.7812,260.2361751,127588.6507,36.91109304,0.000166348,166.3481659,108066.025
0,130161.8125,113743.73,285.29898,197.5625,260.2361751,127588.6507,36.91109304,0.000187486,187.4857653,108253.5108
0,130593.3438,114024.78,281.0578,431.5313,260.2361751,127588.6507,36.91109304,0.000208909,208.9088439,108462.4196
0,130808.8594,114303.125,278.34088,215.5156,260.2361751,127588.6507,36.91109304,0.000216727,216.7268134,108679.1465
0,131371.8438,114579.695,276.57047,562.9844,260.2361751,127588.6507,36.91109304,0.000228806,228.8064386,108907.9529
0,131604.3594,114855.05,275.35535,232.5156,260.2361751,127588.6507,36.91109304,0.000234447,234.4468163,109142.3997
0,132109.9063,115129.54,274.4957,505.5469,260.2361751,127588.6507,36.91109304,0.000232968,232.9683932,109375.3681
0,132360.1875,115403.266,273.72922,250.2812,260.2361751,127588.6507,36.91109304,0.000238785,238.7847178,109614.1528
0,132865.125,115676.7,273.4337,504.9375,260.2361751,127588.6507,36.91109304,0.000244195,244.1949054,109858.3477
0,133115.6563,115950.43,273.72937,250.5313,260.2361751,127588.6507,36.91109304,0.000240403,240.4032859,110098.751
0,133382.5156,116224.945,274.5172,266.8593,260.2361751,127588.6507,36.91109304,0.000239354,239.3535331,110338.1045
0,133917.4531,116501.25,276.30734,534.9375,260.2361751,127588.6507,36.91109304,0.000244994,244.9943635,110583.0989
0,134167.4219,116780.55,279.29886,249.9688,260.2361751,127588.6507,36.91109304,0.000246574,246.5740776,110829.673
0,134685.1406,117064.28,283.73206,517.7187,260.2361751,127588.6507,36.91109304,0.00024309,243.0897161,111072.7627
0,134970.0469,117354.52,290.24597,284.9063,260.2361751,127588.6507,36.91109304,0.000248118,248.1184592,111320.8812
0,135545.1875,117656.98,302.45422,575.1406,260.2361751,127588.6507,36.91109304,0.000248348,248.3484964,111569.2297
0,135831.5313,117986.33,329.3545,286.3438,260.2361751,127588.6507,36.91109304,0.000285121,285.1206848,111854.3503
0,136560.75,118385.82,399.49268,729.2187,260.2361751,127588.6507,36.91109304,0.000390623,390.6228009,112244.9731
0.7109375,136856.4063,118988.02,602.2051,295.6563,260.2361751,127588.6507,36.91109304,0.000442444,442.4440892,112687.4172
4.296875,137959.4531,119735.22,747.1946,1103.0468,260.2361751,127588.6507,36.91109304,0.000621269,621.2687953,113308.686
8.9140625,138395.2656,120384.516,649.2936,435.8125,260.2361751,127588.6507,36.91109304,0.000900704,900.703827,114209.3899
11.4921875,139221.1875,120930.69,546.1737,825.9219,260.2361751,127588.6507,36.91109304,0.000855912,855.9121777,115065.302
12.875,139676.8281,121499.45,568.76196,455.6406,260.2361751,127588.6507,36.91109304,0.000609601,609.6012723,115674.9033
14.3515625,140649.5,122053.66,554.2028,972.6719,260.2361751,127588.6507,36.91109304,0.000615847,615.8468038,116290.7501
15.4609375,141133.2813,122544.44,490.78223,483.7813,260.2361751,127588.6507,36.91109304,0.000631691,631.6907712,116922.4409
16.125,141574.5781,122951.1,406.6623,441.2968,260.2361751,127588.6507,36.91109304,0.000642902,642.901508,117565.3424
15.828125,142395.0469,123336.77,385.67416,820.4688,260.2361751,127588.6507,36.91109304,0.000586681,586.6809408,118152.0233
15.375,142834.8125,123737.375,400.5981,439.7656,260.2361751,127588.6507,36.91109304,0.000512999,512.9988387,118665.0222
15.25,143647.4531,124108.195,370.81772,812.6406,260.2361751,127588.6507,36.91109304,0.000476585,476.5848656,119141.607
14.875,143962.1094,124407.3,299.1038,314.6563,260.2361751,127588.6507,36.91109304,0.000413422,413.4215957,119555.0286
13.21875,144092.1563,124669,261.7026,130.0469,260.2361751,127588.6507,36.91109304,0.000360953,360.9528108,119915.9814
9.515625,144375.9844,124915.83,246.82515,283.8281,260.2361751,127588.6507,36.91109304,0.000328513,328.5130119,120244.4944
7.140625,144621.5,125162.12,246.28632,245.5156,260.2361751,127588.6507,36.91109304,0.000302844,302.8439852,120547.3384
5.3984375,145091.1094,125404.35,242.2324,469.6094,260.2361751,127588.6507,36.91109304,0.00029604,296.0404774,120843.3789
3.5,145311.1563,125643.414,239.06601,220.0469,260.2361751,127588.6507,36.91109304,0.000257848,257.8477373,121101.2266
0.875,145774.6719,125902.6,259.18967,463.5156,260.2361751,127588.6507,36.91109304,0.000231498,231.4976818,121332.7243
0.125,146020.125,126183.805,281.2003,245.4531,260.2361751,127588.6507,36.91109304,0.000243687,243.6868906,121576.4112
0,146479.0781,126466.36,282.55753,458.9531,260.2361751,127588.6507,36.91109304,0.000246298,246.2975094,121822.7087
