Speed,gear,Predicted_sum,Predicted
0.0,0.0,183.8965,183.8965
0.0,0.0,439.35376,255.45726
0.0,0.0,690.48376,251.12999
0.0,0.0,929.3071,238.8234
0.0,0.0,1157.9136,228.60643
0.0,0.0,1379.3977,221.48418
0.0,0.0,1596.1077,216.70992
0.0,0.0,1809.449,213.34125
0.0,0.0,2020.0737,210.62479
0.0,0.0,2228.2336,208.15984
0.0,0.0,2435.91,207.67624
0.0,0.0,2666.3936,230.48366
0.0,0.0,3134.983,468.58945
2.999723451,0.0,3950.2478,815.2649
6.527134487,1.0,4950.979,1000.73114
10.33942522,1.0,5896.425,945.44574
13.56728604,1.0,6556.451,660.02625
14.92961712,2.0,6993.4243,436.97305
14.82331194,2.0,7402.584,409.15942
15.06919643,2.0,7809.1074,406.52335
15.1297433,2.0,8206.81,397.7024
15.02672697,2.0,8594.966,388.15662
14.93496622,2.0,8956.962,361.99576
14.84572072,2.0,9269.617,312.65576
14.17299107,2.0,9544.664,275.04688
11.61704673,2.0,9813.511,268.8466
9.447301136,2.0,10077.412,263.9009
6.094517299,1.0,10339.898,262.48624
2.255047013,1.0,10601.607,261.70898
0.0,0.0,10863.366,261.7592
0.0,0.0,11113.777,250.4116
0.0,0.0,11351.3545,237.57704
0.0,0.0,11579.537,228.18242
0.0,0.0,11801.408,221.87155
0.0,0.0,12019.227,217.8182
0.0,0.0,12234.505,215.27808
0.0,0.0,12448.211,213.70653
0.0,0.0,12660.948,212.73698
0.0,0.0,12873.081,212.13281
0.0,0.0,13084.827,211.74568
0.0,0.0,13296.312,211.48393
0.0,0.0,13507.599,211.28757
0.0,0.0,13718.705,211.10637
0.0,0.0,13929.581,210.87572
0.0,0.0,14140.069,210.48813
0.0,0.0,14349.838,209.76842
0.0,0.0,14558.277,208.43896
0.0,0.0,14764.328,206.05113
0.0,0.0,14966.34,202.0121
0.0,0.0,15163.744,197.40477
0.0,0.0,15380.219,216.47505
0.07300885,0.0,15874.669,494.4498
4.491908482,0.0,16625.629,750.9596
7.986172566,1.0,17485.223,859.59314
11.3988598,1.0,18406.84,921.6181
14.67699115,1.0,19335.463,928.6223
17.48057246,1.0,20264.37,928.90656
19.68806306,1.0,21272.61,1008.24023
22.08002534,1.0,22377.918,1105.3094
24.71999447,1.0,23466.855,1088.9365
26.85016741,1.0,24458.178,991.3214
28.4786036,2.0,25357.98,899.8036
29.74481471,2.0,26168.064,810.08435
30.61615044,2.0,26867.377,699.3133
31.02212389,2.0,27487.541,620.16345
31.285226,3.0,28067.666,580.12463
31.54225543,3.0,28633.791,566.1255
31.58725111,3.0,29195.309,561.5176
31.63616071,3.0,29757.428,562.11847
31.6882673,3.0,30311.209,553.7804
31.62831858,3.0,30869.709,558.4998
