Speed,gear,Predicted_sum,Predicted
0.0,0.0,183.88867,183.88867
0.0,0.0,439.3399,255.45123
0.0,0.0,690.4627,251.1228
0.0,0.0,929.27954,238.81682
0.0,0.0,1157.8823,228.60277
0.0,0.0,1379.3649,221.48251
0.0,0.0,1596.0682,216.70341
0.0,0.0,1809.3839,213.31564
0.0,0.0,2019.9297,210.5458
0.0,0.0,2227.809,207.8795
0.0,0.0,2434.1665,206.3573
0.0,0.0,2656.4678,222.30122
0.0,0.0,3066.3591,409.8914
2.053857854,0.0,3935.0532,868.69403
7.082065819,1.0,4937.5234,1002.47034
11.19126674,1.0,5707.5615,770.0382
12.91294643,1.0,6289.073,581.51184
13.99725507,1.0,6779.9785,490.90533
14.65899123,1.0,7208.3076,428.3291
14.98863636,2.0,7585.915,377.60764
14.58189174,2.0,7964.4414,378.5262
14.5,2.0,8350.854,386.41245
14.5,2.0,8717.979,367.12534
14.5,2.0,9037.051,319.0727
14.10365513,2.0,9314.785,277.73407
11.95903533,2.0,9579.466,264.6807
8.71825732,2.0,9843.448,263.9827
5.921037946,1.0,10102.114,258.66562
1.5296875,0.0,10363.32,261.20627
0.0,0.0,10620.605,257.2848
0.0,0.0,10866.448,245.8424
0.0,0.0,11100.816,234.36824
0.0,0.0,11326.874,226.05804
0.0,0.0,11547.381,220.50696
0.0,0.0,11764.341,216.96
0.0,0.0,11979.09,214.7494
0.0,0.0,12192.479,213.38876
0.0,0.0,12405.031,212.55309
0.0,0.0,12617.065,212.03387
0.0,0.0,12828.766,211.70018
0.0,0.0,13040.236,211.47076
0.0,0.0,13251.527,211.29094
0.0,0.0,13462.643,211.11488
0.0,0.0,13673.527,210.8847
0.0,0.0,13884.038,210.51057
0.0,0.0,14093.891,209.85283
0.0,0.0,14302.6,208.7089
0.0,0.0,14509.424,206.82469
0.0,0.0,14713.61,204.18663
0.0,0.0,14917.278,203.6679
0.0,0.0,15154.981,237.70271
1.132603237,0.0,15550.15,395.16895
4.135044643,1.0,16122.251,572.1009
6.545709978,1.0,16868.885,746.6341
9.533309659,1.0,17758.271,889.38666
13.0453125,1.0,18656.129,897.85834
15.77143252,1.0,19552.98,896.8525
18.09225852,1.0,20537.227,984.24646
20.67088068,1.0,21622.848,1085.6202
23.38727679,1.0,22740.383,1117.5342
25.75113636,1.0,23833.926,1093.542
27.75573394,1.0,24852.754,1018.8272
29.46540179,1.0,25709.293,856.5396
30.61830357,2.0,26376.662,667.3694
30.94469027,2.0,26966.346,589.68427
31.16251408,3.0,27537.893,571.5466
31.35044643,3.0,28139.64,601.74744
31.64285714,3.0,28742.766,603.124
31.84444754,3.0,29321.467,578.70197
31.859375,3.0,29890.703,569.2356
31.90604441,3.0,30452.223,561.52045
31.89204545,3.0,31007.518,555.2946
31.86393805,3.0,31560.18,552.66254
31.82315341,3.0,32113.13,552.9512
31.78947732,3.0,32667.377,554.2454
31.76213728,3.0,33222.492,555.1169
31.74441964,3.0,33776.863,554.37024
31.7286036,3.0,34328.76,551.8991
31.68018018,3.0,34885.43,556.66724
31.6739161,3.0,35447.62,562.1909
31.61830357,3.0,36026.055,578.43494
31.56738281,3.0,36633.94,607.88855
