Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
71,1031.734999999986,1031.7643,696.1203800000001,1031.734999999986
71,2216.5320000000065,1993.8008,962.0364999999999,1184.7970000000205
72,3686.609999999986,2870.2192,876.4184,1470.0779999999795
72,4736.718999999983,3542.8906,672.6714000000002,1050.1089999999967
72,5871.625999999989,4185.3657,642.4751000000001,1134.9070000000065
72,6779.734999999986,4826.3345,640.9687999999996,908.1089999999967
72,7924.141000000003,5476.99,650.6554999999998,1144.4060000000172
72,9041.421999999991,6144.572,667.5820000000003,1117.2809999999881
72,10295.141000000003,6804.7,660.1279999999997,1253.7190000000119
72,11650.828999999998,7421.7397,617.0397000000003,1355.6879999999946
72,13046.87599999999,7974.8296,553.0899,1396.0469999999914
72,13997.516000000003,8441.779,466.9494000000004,950.640000000014
71,14992.812999999996,8818.156,376.3770000000004,995.2969999999932
71,15844.453999999998,9149.9375,331.78149999999914,851.6410000000014
70,16753.532000000007,9463.902,313.96450000000004,909.0780000000086
70,17289.187999999995,9772.347,308.4449999999997,535.6559999999881
69,17933.843999999983,10067.082,294.7350000000006,644.6559999999881
68,18716.329,10374.364,307.28199999999924,782.4850000000188
68,19890.87599999999,10728.493,354.1290000000008,1174.5469999999877
68,20766.359999999982,11107.917,379.42399999999907,875.4839999999931
67,21703.454,11537.629,429.71200000000135,937.0940000000192
67,22643.984999999982,12075.297,537.6679999999997,940.5309999999808
67,23704.579,12737.122,661.8249999999989,1060.5940000000192
68,24450.54699999999,13562.203,825.0810000000001,745.9679999999898
68,25324.234999999982,14295.317,733.1139999999996,873.687999999991
68,26286.234999999982,14895.246,599.9290000000001,962.0
68,27275.016000000003,15483.057,587.8110000000015,988.7810000000209
68,27771.54699999999,16081.789,598.732,496.5309999999881
68,28438.704,16657.068,575.2789999999986,667.1570000000102
68,29151.609999999982,17204.514,547.4459999999999,712.9059999999808
67,29870.829,17764.152,559.637999999999,719.2190000000192
68,30526.141000000003,18339.74,575.5880000000034,655.3120000000017
67,31189.968999999983,18826.076,486.33599999999933,663.8279999999795
67,31782.312999999995,19240.193,414.11699999999837,592.3440000000119
66,32162.984999999982,19606.633,366.4400000000023,380.67199999998775
65,32162.984999999982,19981.232,374.59899999999834,0.0
65,32730.782000000007,20384.969,403.737000000001,567.7970000000241
64,33370.954,20799.826,414.85699999999997,640.1719999999914
64,34067.37599999999,21228.71,428.8839999999982,696.4219999999914
64,34563.62599999999,21658.557,429.8470000000016,496.25
63,35259.54699999999,22130.943,472.3859999999986,695.9210000000021
63,36059.28200000001,22737.086,606.143,799.7350000000151
64,37070.75,23426.422,689.3359999999993,1011.4679999999935
63,37717.813,23988.447,562.0250000000015,647.0630000000019
63,38375.954,24631.762,643.3149999999987,658.140999999996
63,39082.03200000001,25396.578,764.8160000000025,706.0780000000086
63,39958.313,26130.92,734.3419999999969,876.2809999999954
63,40492.75,26642.582,511.66200000000026,534.4369999999981
62,40992.09399999998,27000.646,358.0640000000021,499.34399999998277
62,41404.391,27341.22,340.5740000000005,412.2970000000205
61,41634.079,27660.682,319.46199999999953,229.68799999999464
60,41634.079,27997.824,337.1419999999998,0.0
59,42240.17199999999,28360.824,363.0,606.0929999999935
59,42779.516,28756.025,395.20100000000093,539.3440000000119
58,43289.15700000001,29150.959,394.93399999999747,509.64100000000326
57,43374.266,29533.867,382.90799999999945,85.10899999999674
57,43746.954,29907.082,373.21500000000015,372.68799999999464
56,44331.313,30244.635,337.5529999999999,584.359000000004
56,44860.15700000001,30562.219,317.58400000000256,528.8440000000046
55,45284.59399999998,30884.203,321.9840000000004,424.43699999997625
55,45838.813,31254.865,370.66200000000026,554.2190000000192
55,46584.688,31707.768,452.9029999999984,745.875
55,47803.141,32305.703,597.9350000000013,1218.4530000000013
56,48757.766,32984.996,679.2929999999978,954.625
56,49585.063,33482.637,497.64100000000326,827.2969999999987
56,50350.563,33871.01,388.3729999999996,765.5
56,51183.54699999999,34287.805,416.79499999999825,832.9839999999895
56,51917.29699999999,34833.992,546.1869999999981,733.75
57,52768.23499999999,35520.24,686.2479999999996,850.9380000000019
57,53674.04699999999,36148.465,628.2249999999985,905.8119999999981
58,54747.10999999999,36667.36,518.8950000000041,1073.063000000002
58,55486.42199999999,37188.57,521.2099999999991,739.3119999999981
58,56228.98499999999,37785.88,597.3099999999977,742.5630000000019
59,56886.84399999998,38312.527,526.6470000000045,657.8589999999895
59,57534.09399999998,38736.484,423.9569999999949,647.25
59,58087.54699999999,39306.44,569.9560000000056,553.4530000000086
59,58810.688,40113.188,806.7479999999996,723.1410000000105
60,59766.438,41219.01,1105.8220000000001,955.75
61,60840.98499999999,41953.977,734.9669999999969,1074.5469999999914
61,61619.579,42522.37,568.3930000000037,778.5940000000046
61,62306.40700000001,43186.61,664.239999999998,686.8280000000086
61,62903.938,43920.188,733.5780000000013,597.5309999999954
62,63761.438,44695.203,775.0149999999994,857.5
62,64443.73499999999,45490.883,795.6800000000003,682.2969999999914
63,65399.98499999999,46470.473,979.5899999999965,956.25
64,66382.59399999998,47513.45,1042.976999999999,982.6089999999895
64,67392.37599999999,48565.13,1051.6800000000003,1009.7820000000065
65,68241.688,49644.02,1078.8899999999994,849.3120000000054
65,69020.25,50662.445,1018.4250000000029,778.5620000000054
66,69724.92199999999,51631.53,969.0849999999991,704.6719999999914
66,70535.34399999998,52642.28,1010.75,810.4219999999914
66,71089.204,53765.324,1123.0440000000017,553.8600000000151
66,71753.37599999999,54895.742,1130.4179999999978,664.1719999999914
67,72698.73499999999,56021.58,1125.8380000000034,945.3589999999967
68,73854.563,57082.99,1061.4099999999962,1155.8280000000086
68,74640.62600000002,58042.664,959.6739999999991,786.0630000000237
68,75395.063,58962.652,919.9880000000048,754.4369999999763
68,75991.99999999997,59829.83,867.1779999999999,596.9369999999763
68,76491.438,60606.9,777.0699999999997,499.43800000002375
67,76915.74999999997,61290.492,683.5919999999969,424.31199999997625
68,77542.063,61913.004,622.5120000000024,626.3130000000237
67,78129.49999999997,62477.684,564.6800000000003,587.4369999999763
67,78733.813,63066.11,588.4259999999995,604.3130000000237
67,79245.49999999997,63687.625,621.5149999999994,511.68699999997625
67,79778.24999999997,64339.23,651.6050000000032,532.75
67,80324.53199999998,65017.746,678.515999999996,546.2820000000065
67,80872.15699999998,65711.29,693.5439999999944,547.625
67,81334.74999999997,66384.04,672.75,462.5929999999935
67,81869.62600000002,66998.14,614.1000000000058,534.8760000000475
67,82394.563,67468.734,470.5939999999973,524.9369999999763
66,82794.87600000002,67744.195,275.46100000001024,400.31300000002375
65,82817.40699999998,67932.55,188.35499999999593,22.530999999959022
64,83216.688,68118.08,185.52999999999884,399.28100000001723
64,83763.063,68412.17,294.0899999999965,546.375
64,84335.063,68797.01,384.8399999999965,572.0
64,84739.74999999997,69134.31,337.3000000000029,404.68699999997625
63,85162.84400000001,69413.1,278.79000000000815,423.094000000041
63,85582.188,69690.9,277.79999999998836,419.34399999998277
63,86072.313,69959.79,268.8899999999994,490.125
62,86452.688,70251.805,292.0149999999994,380.375
62,86869.53199999998,70621.72,369.91500000000815,416.84399999998277
62,87326.688,71056.87,435.1499999999942,457.15600000001723
62,87868.99999999997,71529.3,472.43000000000757,542.3119999999763
62,88320.813,72016.68,487.3799999999901,451.81300000002375
62,88883.063,72489.55,472.8700000000099,562.25
62,89465.74999999997,72917.28,427.7299999999959,582.6869999999763
62,90138.313,73287.34,370.0599999999977,672.5630000000237
62,90679.49999999996,73616.96,329.6200000000099,541.1869999999617
62,91340.438,73959.66,342.6999999999971,660.9380000000383
62,92145.24999999996,74359.72,400.0599999999977,804.8119999999617
62,93037.188,74838.45,478.7299999999959,891.9380000000383
63,93542.563,75426.95,588.5,505.375
63,94032.813,75980.586,553.6359999999986,490.25
62,94496.719,76428.086,447.5,463.9060000000027
62,95005.49999999996,76776.72,348.63400000000547,508.780999999959
62,95358.49999999996,76991.66,214.94000000000233,353.0
61,95673.87600000002,77091.04,99.3799999999901,315.37600000006205
61,95947.219,77158.87,67.83000000000175,273.34299999997893
61,96236.37600000002,77256.89,98.02000000000407,289.15700000002107
61,96403.99999999996,77389.414,132.5240000000049,167.62399999993795
61,96595.094,77531.055,141.6409999999887,191.09400000004098
61,96888.188,77732.0,200.94500000000698,293.0939999999973
61,97831.438,78067.05,335.0500000000029,943.25
61,98585.688,78670.484,603.4339999999938,754.25
62,99510.15699999998,79453.39,782.9060000000027,924.4689999999828
63,100476.24999999996,80154.31,700.9199999999983,966.0929999999789
63,101682.344,80823.33,669.0200000000041,1206.094000000041
64,102665.62600000002,81611.04,787.7099999999919,983.2820000000211
65,103749.563,82299.15,688.1100000000006,1083.9369999999763
66,104804.313,82730.3,431.15000000000873,1054.75
66,105543.90699999998,82997.516,267.21600000000035,739.5939999999828
66,105841.063,83241.41,243.89400000000023,297.15600000001723
66,106167.313,83486.82,245.4100000000035,326.25
66,106556.344,83765.445,278.625,389.0310000000027
67,107076.87600000002,84155.33,389.88499999999476,520.5320000000211
67,107757.688,84574.26,418.929999999993,680.8119999999763
68,108529.188,84950.51,376.25,771.5
68,109241.40699999998,85319.49,368.9800000000105,712.2189999999828
68,109783.938,85663.94,344.4499999999971,542.5310000000172
69,110211.24999999996,85991.336,327.39599999999336,427.3119999999617
69,110814.469,86302.85,311.5140000000101,603.219000000041
69,111579.313,86596.02,293.16999999999825,764.8439999999973
70,112422.62600000002,86896.75,300.7299999999959,843.3130000000237
70,112907.49999999996,87212.2,315.4499999999971,484.87399999993795
70,113434.813,87510.69,298.49000000000524,527.3130000000383
71,113857.094,87799.24,288.5500000000029,422.2810000000027
71,114294.74999999996,88072.4,273.15999999998894,437.655999999959
71,114579.969,88309.96,237.56000000001222,285.219000000041
71,114896.99999999996,88509.47,199.50999999999476,317.030999999959
71,115191.938,88691.52,182.0500000000029,294.9380000000383
71,115524.094,88884.73,193.20999999999185,332.1560000000027
71,115794.719,89110.984,226.25400000000081,270.625
71,116103.938,89384.94,273.9560000000056,309.2189999999973
71,116469.53199999998,89715.49,330.5500000000029,365.59399999998277
71,117008.688,90090.89,375.3999999999942,539.1560000000172
71,117528.65699999998,90551.78,460.8899999999994,519.9689999999828
72,117981.094,91126.12,574.3399999999965,452.4370000000199
72,118376.12600000002,91607.64,481.5200000000041,395.03200000002107
72,118810.844,92031.055,423.4149999999936,434.71799999997893
72,119134.563,92435.555,404.5,323.7189999999973
72,119489.62600000002,92792.34,356.7850000000035,355.06300000002375
72,119789.12600000002,93090.55,298.2100000000064,299.5
72,120118.969,93351.75,261.1999999999971,329.84299999997893
72,120215.24999999996,93570.08,218.33000000000175,96.28099999995902
71,120258.24999999996,93790.02,219.94000000000233,43.0
71,120729.063,94045.69,255.66999999999825,470.8130000000383
71,121146.688,94365.33,319.6399999999994,417.625
71,121461.24999999996,94756.64,391.3099999999977,314.5619999999617
71,121787.87600000002,95188.7,432.0599999999977,326.62600000006205
71,122125.438,95622.62,433.91999999999825,337.56199999997625
71,122527.49999999996,96047.36,424.74000000000524,402.0619999999617
71,122778.719,96463.48,416.11999999999534,251.21900000004098
71,123105.938,96872.16,408.68000000000757,327.2189999999973
71,123503.938,97274.02,401.8600000000006,398.0
71,123967.49999999996,97664.56,390.5399999999936,463.5619999999617
71,124244.813,98032.72,368.1600000000035,277.3130000000383
71,124549.37600000002,98348.914,316.19400000000314,304.56300000002375
71,124716.938,98610.72,261.80599999999686,167.56199999997625
70,124740.24999999996,98852.64,241.91999999999825,23.3119999999617
70,124890.063,99020.54,167.89999999999418,149.8130000000383
70,125333.24999999996,99240.87,220.33000000000175,443.1869999999617
70,125701.62600000002,99413.47,172.60000000000582,368.37600000006205
70,126107.813,99510.125,96.65499999999884,406.18699999997625
70,126302.99999999996,99573.74,63.61500000000524,195.1869999999617
69,126374.813,99623.61,49.86999999999534,71.8130000000383
69,126374.813,99668.35,44.74000000000524,0.0
68,126374.813,99721.21,52.86000000000058,0.0
68,126637.37600000002,99786.17,64.95999999999185,262.56300000002375
68,127081.28199999998,99880.73,94.55999999999767,443.905999999959
68,127518.563,100007.195,126.46500000001106,437.28100000001723
68,127962.65699999998,100152.42,145.22499999999127,444.09399999998277
68,128206.74999999996,100300.125,147.70500000000175,244.09299999997893
68,128522.74999999996,100441.54,141.4149999999936,316.0
68,128879.87600000002,100579.36,137.82000000000698,357.12600000006205
68,129303.813,100724.74,145.38000000000466,423.93699999997625
68,129560.188,100890.62,165.8799999999901,256.375
68,129999.90699999998,101084.46,193.84000000001106,439.71899999998277
68,130530.438,101319.4,234.93999999998778,530.5310000000172
68,131088.49999999997,101622.46,303.0600000000122,558.0619999999763
68,131554.24999999997,102016.56,394.09999999999127,465.75
69,132020.49999999997,102443.89,427.33000000000175,466.25
69,132410.87600000002,102780.91,337.0200000000041,390.3760000000475
69,132872.87600000002,103039.26,258.34999999999127,462.0
69,133255.62600000002,103236.56,197.3000000000029,382.75
69,133695.063,103392.92,156.36000000000058,439.43699999997625
69,134059.37600000002,103529.42,136.5,364.31300000002375
69,134458.813,103661.01,131.5899999999965,399.43699999997625
69,134809.49999999997,103786.24,125.23000000001048,350.68699999997625
69,135181.37600000002,103888.3,102.05999999999767,371.8760000000475
69,135473.37600000002,103957.1,68.80000000000291,292.0
69,135806.313,104001.3,44.19999999999709,332.93699999997625
68,135981.49999999997,104029.73,28.429999999993015,175.18699999997625
68,136018.313,104049.89,20.160000000003492,36.81300000002375
67,136018.313,104068.26,18.369999999995343,0.0
67,136455.688,104072.516,4.256000000008498,437.375
60,142787.62600000002,103835.93,1.4699999999866122,424.68800000002375
61,143226.188,103863.72,27.79000000000815,438.56199999997625
60,143529.813,103905.33,41.61000000000058,303.625
60,143879.438,103952.98,47.64999999999418,349.625
60,144143.37600000002,104015.96,62.98000000001048,263.93800000002375
60,144411.37600000002,104076.3,60.33999999999651,268.0
60,144654.438,104113.336,37.03599999999278,243.06199999997625
59,144745.87600000002,104136.01,22.67399999999907,91.43800000002375
58,144745.87600000002,104140.31,4.30000000000291,0.0
58,144745.87600000002,104140.414,0.10400000000663567,0.0
57,144745.87600000002,104149.2,8.785999999992782,0.0
56,144745.87600000002,104161.914,12.714000000007218,0.0
55,144745.87600000002,104177.89,15.97599999999511,0.0
54,144745.87600000002,104194.32,16.430000000007567,0.0
53,144745.87600000002,104205.82,11.5,0.0
53,144745.87600000002,104217.24,11.419999999998254,0.0
52,144745.87600000002,104236.05,18.80999999999767,0.0
52,145169.65699999998,104299.09,63.0399999999936,423.780999999959
52,145580.65699999998,104461.016,161.92600000000675,411.0
52,145930.938,104702.63,241.6140000000014,350.28100000001723
52,146173.37600000002,104924.375,221.74499999999534,242.43800000002375
52,146445.49999999997,105114.65,190.27499999999418,272.1239999999525
