time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,trs_mt_gr_st\CCP:1,sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1
290.0,290.0028002,,27.9140625,22.3828125,22.484375,2,0.0,13.3359375,14.8828125,1,44.296875,34.60693359,1237.25,-13.5,13.99804688,0.169006348,444.5,7.815551758,0.640625,88.7578125,26557.85938
291.0,291.0070231,,28.0078125,22.3828125,22.546875,2,0.0,13.34814453,14.375,1,44.828125,34.92431641,1185.625,-12.5,14.00585938,0.170562744,449.375,7.757568359,0.619140625,88.54296875,27204.79688
292.0,292.0050871,,28.0625,22.3828125,22.4921875,2,0.0,13.34814453,13.0,1,45.66796875,35.55908203,1122.875,-9.1875,13.93847656,0.173706055,457.8125,7.177734375,0.612304688,88.453125,27817.75
293.0,293.0069911,,28.109375,22.3828125,22.5,2,0.0,13.35986328,9.75,1,46.7734375,36.79199219,966.0,-2.125,14.00732422,0.1796875,472.1875,6.616210938,0.560546875,88.25,28382.34375
294.0,294.0070951,,28.2109375,22.3828125,22.546875,1,0.0,13.35986328,7.375,1,48.92578125,38.02490234,917.5,8.25,13.95556641,0.185699463,486.8125,6.866455078,0.560546875,88.01171875,28932.42188
295.0,295.0080666,,28.3203125,22.3828125,22.5078125,1,0.0,13.27685547,4.75,1,61.16796875,50.42724609,997.5,20.9375,13.94628906,0.246307373,654.1875,10.75744629,1.227539063,87.703125,29552.32813
296.0,296.0105779,,28.46875,22.3828125,22.5546875,0,0.0,13.38378906,0.0,1,50.87109375,37.45117188,712.375,3.9375,13.90869141,0.182891846,477.875,5.377197266,0.25,88.046875,30094.46875
297.0,297.0077991,,28.5546875,22.3828125,22.546875,0,0.0,13.38378906,0.0,1,49.88671875,36.27929688,721.625,0.3125,13.95556641,0.177185059,463.9375,5.252075195,0.33984375,88.16015625,30414.21875
298.0,298.0079836,,28.671875,22.3828125,22.5703125,0,0.0,13.39599609,0.0,1,48.671875,35.3515625,723.75,-2.3125,13.93066406,0.172637939,451.1875,5.090332031,0.356445313,88.05859375,30756.45313
299.0,299.0151669,,28.75,22.3828125,22.6328125,0,0.0,13.39599609,0.0,1,48.41796875,35.10742188,729.0,-3.375,14.01367188,0.171447754,450.0625,5.126953125,0.3828125,87.93359375,31139.28125
300.0,300.0151802,,28.8828125,22.3828125,22.59375,0,0.0,13.40771484,0.0,1,47.6484375,34.38720703,734.375,-4.4375,13.96191406,0.167938232,440.4375,5.072021484,0.375976563,87.90234375,31541.64063
301.0,301.007964,,28.9765625,22.3828125,22.625,0,0.0,13.40771484,0.0,1,47.0546875,34.1796875,717.75,-4.4375,13.93701172,0.16696167,438.3125,5.136108398,0.361328125,87.984375,31787.42188
302.0,302.008419,,29.125,22.3828125,22.65625,0,0.0,13.41992188,0.0,1,46.84375,33.75244141,723.625,-5.4375,13.95898438,0.164886475,432.5,4.965209961,0.362304688,88.08984375,32182.48438
