Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE
0.0,552.203125,391.21896,391.21896,552.203125,161.22332799956683,82667.77057591389,22.42624544238369
0.0,3641.859375,744.54767,353.3287,3089.65625,161.22332799956683,82667.77057591389,22.42624544238369
0.0,6110.484375,1070.7205,326.17285,2468.625,161.22332799956683,82667.77057591389,22.42624544238369
0.0,7387.640625,1385.7117,314.99124,1277.15625,161.22332799956683,82667.77057591389,22.42624544238369
0.0,9037.125,1695.2213,309.50964,1649.484375,161.22332799956683,82667.77057591389,22.42624544238369
0.0,10475.4375,2001.7056,306.4842,1438.3125,161.22332799956683,82667.77057591389,22.42624544238369
0.0,11941.54688,2307.714,306.00854,1466.1093799999999,161.22332799956683,82667.77057591389,22.42624544238369
0.0,12710.625,2617.735,310.02106,769.0781200000001,161.22332799956683,82667.77057591389,22.42624544238369
0.0,12927.35938,2940.2993,322.56433,216.73437999999987,161.22332799956683,82667.77057591389,22.42624544238369
0.0,13931.28125,3291.69,351.39053,1003.9218700000001,161.22332799956683,82667.77057591389,22.42624544238369
0.0,14862.39063,3703.088,411.3979,931.1093799999999,161.22332799956683,82667.77057591389,22.42624544238369
0.0,15669.90625,4236.666,533.57794,807.5156200000001,161.22332799956683,82667.77057591389,22.42624544238369
0.0,16187.78125,5047.088,810.422,517.875,161.22332799956683,82667.77057591389,22.42624544238369
4.0,17667.17188,6084.849,1037.7614,1479.3906300000017,161.22332799956683,82667.77057591389,22.42624544238369
6.625,19787.45313,7208.446,1123.5967,2120.28125,161.22332799956683,82667.77057591389,22.42624544238369
10.25,20644.73438,8295.551,1087.1051,857.28125,161.22332799956683,82667.77057591389,22.42624544238369
12.75,21599.09375,9215.688,920.13776,954.3593699999983,161.22332799956683,82667.77057591389,22.42624544238369
13.875,22602.07813,10009.1455,793.45667,1002.9843800000017,161.22332799956683,82667.77057591389,22.42624544238369
14.75,23191.82813,10720.869,711.72314,589.75,161.22332799956683,82667.77057591389,22.42624544238369
15.125,24096.9375,11370.415,649.54565,905.1093699999983,161.22332799956683,82667.77057591389,22.42624544238369
