Speed,Actual,Predicted,2,,,
0,0,0,200,129133,105134,0.814151656
0,0,0,400,95726,100320,1.047990027
0,0,0,600,91979,102416,1.113476632
0,0,0,800,85134,103136,1.211448398
0,0,0,1200,405260,506578,1.250008132
0,0,228.09872,,,,
0,0,506.8788,,,,
0,0,771.9551,,,,
0,0,1022.0182,,,,
0,0,1262.5886,,,,
0,0,1499.541,,,,
0,0,1734.1564,,,,
0,0,1960.5502,,,,
0,0,2166.211,,,,
0,0,2336.2402,,,,
0,0,2461.605,,,,
0,0,2551.1675,,,,
0,0,2646.3606,,,,
0,0,2835.759,,,,
0,28.05586283,3254.1628,,,,
0,502.8454093,3985.009,,,,
0,2199.895879,4850.5635,,,,
0,3902.091261,5655.4976,,,,
0,5650.745575,6350.114,,,,
0,6896.563883,6973.546,,,,
0,8109.698285,7572.655,,,,
0,9223.547152,8162.7,,,,
0,10393.04038,8749.928,,,,
0,11648.52019,9351.212,,,,
0,13189.13136,9959.607,,,,
0.349211836,14536.18128,10560.931,,,,
4.707065819,16068.72207,11143.976,,,,
7.030143805,17205.16164,11726.562,,,,
7.955613938,18314.82011,12356.517,,,,
8.695035951,18920.93473,13083.403,,,,
11.00076051,20237.47884,13903.0205,,,,
12.77876106,21614.91911,14743.862,,,,
13.57252489,23417.48797,15547.39,,,,
13.6171875,24893.95561,16305.334,,,,
13.3431969,26188.34845,17056.33,,,,
13.27668695,27605.09831,17842.604,,,,
13.35287611,28984.80241,18662.52,,,,
13.42699115,30583.38122,19468.557,,,,
13.47856748,31921.46585,20174.049,,,,
12.39926715,33029.38772,20705.518,,,,
9.748064159,33460.4122,21083.764,,,,
6.654867257,34200.82937,21388.846,,,,
4.634679204,34978.69856,21683.863,,,,
1.531664823,35819.33393,21999.455,,,,
0.026548673,36562.46045,22348.186,,,,
0,37271.10509,22727.04,,,,
0,37842.12016,23133.438,,,,
0,38370.88178,23547.324,,,,
0,38865.62168,23958.463,,,,
0,39407.42658,24364.426,,,,
0,39873.28789,24768.748,,,,
0,40438.22995,25176.44,,,,
0,40950.65998,25592.395,,,,
0,41481.37237,26015.875,,,,
0,42008.47027,26447.209,,,,
0,42562.09859,26884.73,,,,
0,43108.04466,27328.965,,,,
0,43643.05227,27781.838,,,,
0,44204.56333,28242.887,,,,
0,44753.64671,28710.588,,,,
0,45315.81388,29178.504,,,,
0,45828.90514,29637.252,,,,
0,46392.33476,30071.15,,,,
0,46906.67105,30462.996,,,,
0,47469.97027,30801.227,,,,
0,47932.37832,31097.799,,,,
0.90161781,48262.79231,31410.07,,,,
2.994330752,48654.49972,31816.39,,,,
4.644081858,49050.87154,32408.283,,,,
7.233061394,49847.92132,33236.125,,,,
10.61843197,50897.8508,34257.258,,,,
14.31229259,52352.6846,35334.543,,,,
18.07708794,53954.84098,36355.92,,,,
20.95056692,55270.80213,37318.18,,,,
22.71792035,56280.54729,38272.42,,,,
