Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
95,85305.0,82292.09,1258.0,1511.3099999999977
96,86159.0,83601.47,854.0,1309.3800000000047
96,87087.0,84678.13,928.0,1076.6600000000035
97,87989.0,86026.61,902.0,1348.479999999996
98,89569.0,87682.49,1580.0,1655.8800000000047
99,91457.0,89259.13,1888.0,1576.6399999999994
99,93601.0,90335.234,2144.0,1076.103999999992
100,94171.0,90975.836,570.0,640.601999999999
99,94425.0,91228.92,254.0,253.08400000000256
99,94495.0,91279.88,70.0,50.9600000000064
98,94495.0,91362.984,0.0,83.10399999999208
98,94495.0,91498.61,0.0,135.62600000000384
98,94495.0,91628.875,0.0,130.26499999999942
97,94495.0,91680.4,0.0,51.52499999999418
96,94495.0,91762.02,0.0,81.6200000000099
96,94727.0,92142.83,232.0,380.8099999999977
96,95175.0,93024.8,448.0,881.9700000000012
97,96363.0,94524.93,1188.0,1500.12999999999
97,98225.0,96203.81,1862.0,1678.8800000000047
98,99343.0,97844.4,1118.0,1640.5899999999965
98,99585.0,98404.57,242.0,560.1700000000128
97,99793.0,98704.305,208.0,299.73499999998603
97,100069.0,99092.46,276.0,388.1550000000134
97,100267.0,99657.14,198.0,564.679999999993
97,100691.0,100242.86,424.0,585.7200000000012
97,101143.0,100620.45,452.0,377.5899999999965
96,101295.0,100818.87,152.0,198.41999999999825
96,101295.0,100872.27,0.0,53.40000000000873
92,101295.0,100820.18,0.0,12.349999999991269
92,101295.0,100842.914,0.0,22.734000000011292
91,101295.0,100912.95,0.0,70.03599999999278
91,101295.0,101044.984,0.0,132.03399999999965
90,101295.0,101239.586,0.0,194.60199999999895
90,101295.0,101574.26,0.0,334.67399999999907
90,101295.0,101889.05,0.0,314.79000000000815
89,101295.0,102210.78,0.0,321.7299999999959
89,101649.0,102735.195,354.0,524.4150000000081
89,102093.0,103538.016,444.0,802.8209999999963
89,103203.0,104744.1,1110.0,1206.0840000000026
90,104555.0,106347.96,1352.0,1603.8600000000006
90,106247.0,108031.445,1692.0,1683.4850000000006
91,106785.0,109439.74,538.0,1408.2949999999983
91,107399.0,110565.086,614.0,1125.3459999999905
91,108229.0,111646.24,830.0,1081.1540000000095
92,109845.0,113034.59,1616.0,1388.3499999999913
92,111159.0,114929.83,1314.0,1895.2400000000052
93,112977.0,116990.27,1818.0,2060.4400000000023
94,114881.0,119190.31,1904.0,2200.0399999999936
95,116631.0,121406.805,1750.0,2216.4949999999953
95,117317.0,122681.92,686.0,1275.1150000000052
95,117919.0,123463.16,602.0,781.2400000000052
95,118373.0,124230.18,454.0,767.0199999999895
95,118811.0,125041.836,438.0,811.6560000000027
95,119103.0,125891.13,292.0,849.294000000009
95,119489.0,126758.914,386.0,867.7839999999997
95,119955.0,127631.83,466.0,872.9159999999974
95,120937.0,128505.38,982.0,873.5500000000029
95,121665.0,129378.63,728.0,873.25
95,122387.0,130246.12,722.0,867.4899999999907
95,122887.0,131096.03,500.0,849.9100000000035
95,123543.0,131935.3,656.0,839.2699999999895
95,123951.0,132856.47,408.0,921.1700000000128
95,124621.0,134088.42,670.0,1231.9500000000116
96,126001.0,135675.88,1380.0,1587.4599999999919
96,128121.0,137528.78,2120.0,1852.8999999999942
97,129757.0,139539.89,1636.0,2011.1100000000151
98,131901.0,141765.27,2144.0,2225.3799999999756
99,133691.0,143893.33,1790.0,2128.0599999999977
100,135077.0,146210.92,1386.0,2317.5900000000256
100,135837.0,147522.81,760.0,1311.8899999999849
100,136719.0,148529.12,882.0,1006.3099999999977
100,137427.0,149459.97,708.0,930.8500000000058
100,138289.0,150376.42,862.0,916.4500000000116
100,138873.0,151277.88,584.0,901.4599999999919
100,139499.0,152172.62,626.0,894.7399999999907
100,140087.0,153158.14,588.0,985.5200000000186
100,141253.0,154448.45,1166.0,1290.3099999999977
101,142383.0,155883.55,1130.0,1435.0999999999767
101,143667.0,157271.83,1284.0,1388.2799999999988
101,144659.0,158348.53,992.0,1076.7000000000116
101,145477.0,159324.31,818.0,975.7799999999988
101,145757.0,160154.16,280.0,829.8500000000058
101,145913.0,160597.47,156.0,443.3099999999977
100,145919.0,160757.6,6.0,160.13000000000466
99,145919.0,160776.94,0.0,19.339999999996508
98,145919.0,160814.73,0.0,37.79000000000815
98,145919.0,160955.44,0.0,140.70999999999185
97,145919.0,161095.62,0.0,140.17999999999302
97,145919.0,161183.78,0.0,88.16000000000349
96,145919.0,161230.92,0.0,47.14000000001397
95,145919.0,161285.7,0.0,54.779999999998836
95,145919.0,161374.45,0.0,88.75
94,145919.0,161470.1,0.0,95.64999999999418
94,145919.0,161513.78,0.0,43.679999999993015
93,145919.0,161529.11,0.0,15.329999999987194
92,145919.0,161588.55,0.0,59.44000000000233
92,145919.0,161732.53,0.0,143.98000000001048
91,145919.0,161997.52,0.0,264.9899999999907
91,146207.0,162513.45,288.0,515.9300000000221
91,147031.0,163339.86,824.0,826.4099999999744
91,148651.0,164759.66,1620.0,1419.8000000000175
92,149963.0,166587.27,1312.0,1827.609999999986
93,151861.0,168513.38,1898.0,1926.1100000000151
93,152897.0,169971.58,1036.0,1458.1999999999825
93,153533.0,170683.89,636.0,712.3100000000268
93,153889.0,171416.64,356.0,732.75
93,154827.0,172620.75,938.0,1204.109999999986
94,156389.0,174446.61,1562.0,1825.859999999986
95,158633.0,176598.94,2244.0,2152.3300000000163
95,159213.0,178023.47,580.0,1424.5299999999988
95,159617.0,178335.94,404.0,312.47000000000116
94,159823.0,178475.9,206.0,139.95999999999185
93,159845.0,178528.69,22.0,52.79000000000815
93,159845.0,178549.17,0.0,20.480000000010477
92,159845.0,178580.83,0.0,31.65999999997439
91,159845.0,178631.89,0.0,51.060000000026776
91,159845.0,178678.1,0.0,46.20999999999185
90,159845.0,178684.7,0.0,6.600000000005821
87,159845.0,178678.31,0.0,14.169999999983702
84,159845.0,178723.55,0.0,45.23999999999069
84,159845.0,178756.56,0.0,33.01000000000931
81,159845.0,178767.47,0.0,58.91000000000349
81,159845.0,178950.72,0.0,183.25
81,160031.0,179139.78,186.0,189.05999999999767
80,160275.0,179323.61,244.0,183.8299999999872
80,160625.0,179634.83,350.0,311.22000000000116
80,161149.0,180069.42,524.0,434.5900000000256
80,161901.0,180547.31,752.0,477.88999999998487
