Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
9,160.93700000003446,365.8567,160.93700000003446,195.72686
6,330.93700000003446,555.907,170.0,190.05030000000005
6,480.875,743.682,149.93799999996554,187.77499999999998
6,626.5,944.75964,145.625,201.07763999999997
5,782.0,1114.3988,155.5,169.63915999999995
5,941.625,1309.1055,159.625,194.70669999999996
5,1112.3129999999655,1628.2122,170.68799999996554,319.10670000000005
6,1616.75,2106.3906,504.43700000003446,478.17840000000024
9,2309.25,2596.4224,692.5,490.03179999999975
10,2537.312999999965,2823.6655,228.0629999999651,227.24310000000014
9,2657.1870000000345,2987.1687,119.87400000006937,163.5032000000001
9,2940.562999999965,3260.2732,283.3759999999306,273.1044999999999
10,3406.812999999965,3687.8787,466.25,427.6055000000001
11,3709.125,4069.4548,302.3120000000349,381.57609999999977
10,3861.9370000000345,4291.8774,152.81200000003446,222.42260000000033
9,4040.5,4477.1846,178.56299999996554,185.30719999999928
7,4253.0629999999655,4646.3564,212.56299999996554,169.17180000000008
6,4436.3129999999655,4801.3745,183.25,155.01810000000023
6,4589.5,4994.672,153.18700000003446,193.29749999999967
6,4777.625,5259.7827,188.125,265.1107000000002
7,5285.875,5654.2295,508.25,394.4468000000006
10,6072.25,6321.409,786.375,667.1794999999993
12,6418.0,6675.2017,345.75,353.79269999999997
13,6793.25,7063.466,375.25,388.26430000000073
13,7202.25,7485.384,409.0,421.91799999999967
14,7695.5,8097.731,493.25,612.3469999999998
16,8145.687000000034,8750.384,450.18700000003355,652.6530000000002
16,8473.125,9075.103,327.43799999996645,324.71899999999914
15,8642.0,9316.817,168.875,241.71399999999994
14,8805.875,9555.767,163.875,238.95000000000073
14,8927.937000000034,9854.451,122.06200000003446,298.6839999999993
14,9097.625,10156.964,169.68799999996554,302.51300000000083
15,9697.562999999966,10679.695,599.9379999999655,522.7309999999998
18,10338.375,11654.424,640.8120000000345,974.7290000000012
18,10566.125,11901.611,227.75,247.1869999999999
19,11056.312999999966,12249.576,490.18799999996554,347.9649999999983
22,11880.062999999966,13462.801,823.75,1213.2250000000004
24,12983.125,14505.944,1103.0620000000345,1043.143
26,14082.75,15799.085,1099.625,1293.1409999999996
29,15502.125,17283.584,1419.375,1484.4989999999998
31,16025.5,17665.928,523.375,382.34400000000096
31,16521.0,18382.557,495.5,716.6290000000008
33,17375.375,19307.486,854.375,924.9290000000001
35,18643.625,20460.266,1268.25,1152.7799999999988
36,19704.125,21745.441,1060.5,1285.1749999999993
38,20758.125,22979.668,1054.0,1234.2270000000026
40,22205.25,24438.596,1447.125,1458.9279999999999
42,23779.31299999997,25952.645,1574.0629999999692,1514.048999999999
42,23950.0,26134.824,170.68700000003082,182.1790000000001
41,24165.25,26359.979,215.25,225.15499999999884
41,24373.937000000034,26659.234,208.68700000003446,299.255000000001
42,25421.25,27742.777,1047.3129999999655,1083.5429999999978
43,26536.56299999997,29335.64,1115.3129999999692,1592.8630000000012
45,28221.125,31312.232,1684.5620000000308,1976.5920000000006
47,30127.81299999997,33475.656,1906.6879999999692,2163.4240000000027
48,31550.81299999997,34919.145,1423.0,1443.4889999999941
49,32038.56299999997,35386.785,487.75,467.6400000000067
49,32474.5,35922.164,435.9370000000308,535.3789999999935
48,32621.875,36193.05,147.375,270.8860000000059
48,32636.5,36382.902,14.625,189.85199999999895
47,32636.5,36490.68,0.0,107.77799999999843
